root,alternate
finger,fingers
handbreadth,handbreadths
span,spans
cubit,cubits
long cubit,long cubits
fathom,fathoms
reed,reeds
furlong,furlongs
stadion,stadia
sabbath day's journey,sabbath day's walk
day's journey,days' journey
gerah,gerahs
bekah,bekahs
pim,pims
shekel,shekels
mina,minas
talent,talents
log,logs
kab,kabs
hin,hins
bath,baths
homer,homers
kor,kors
metretes,firkins
metretes,firkin
metretes,metretas
metretes,metrete
omer,omers
seah,seahs
ephah,ephahs
lethech,lethechs
denarius,denarii
drachma,drachmae
didrachma,didrachmae
the third hour,the third hour
the sixth hour,the sixth hour
the seventh hour,the seventh hour
the ninth hour,the ninth hour
the tenth hour,the tenth hour
the eleventh hour,the eleventh hour
the second watch,the second watch
the third watch,the third watch
the fourth watch,the fourth watch
daric,darics
