state,county,NAME,population_size,percent_65plus
12,119,"Sumter County, Florida",108501,50.9
12,015,"Charlotte County, Florida",165783,36.800000000000004
08,079,"Mineral County, Colorado",733,36.6
31,091,"Hooker County, Nebraska",681,35.8
04,012,"La Paz County, Arizona",20335,35.2
12,017,"Citrus County, Florida",139654,34.4
41,069,"Wheeler County, Oregon",1348,34.3
51,091,"Highland County, Virginia",2244,34.0
26,001,"Alcona County, Michigan",10550,34.0
48,385,"Real County, Texas",3356,34.0
51,103,"Lancaster County, Virginia",11129,33.9
35,051,"Sierra County, New Mexico",11615,33.9
48,299,"Llano County, Texas",19323,33.6
12,055,"Highlands County, Florida",98328,33.3
12,115,"Sarasota County, Florida",392038,33.1
51,133,"Northumberland County, Virginia",12304,33.1
38,051,"McIntosh County, North Dakota",2759,33.1
35,003,"Catron County, New Mexico",3583,32.7
13,281,"Towns County, Georgia",10800,31.900000000000002
29,085,"Hickory County, Missouri",9335,31.5
26,131,"Ontonagon County, Michigan",6298,30.599999999999998
13,291,"Union County, Georgia",21725,30.5
41,015,"Curry County, Oregon",22338,30.4
08,053,"Hinsdale County, Colorado",874,30.1
53,031,"Jefferson County, Washington",30083,30.099999999999998
48,311,"McMullen County, Texas",778,29.700000000000003
26,083,"Keweenaw County, Michigan",2198,29.7
46,089,"McPherson County, South Dakota",2263,29.7
12,061,"Indian River County, Florida",142866,29.6
05,005,"Baxter County, Arkansas",41040,29.5
48,155,"Foard County, Texas",1197,29.400000000000002
38,039,"Griggs County, North Dakota",2329,29.4
48,263,"Kent County, Texas",821,29.4
27,001,"Aitkin County, Minnesota",15839,29.3
48,137,"Edwards County, Texas",1906,29.3
26,143,"Roscommon County, Michigan",24068,29.200000000000003
45,065,"McCormick County, South Carolina",9895,29.099999999999998
53,069,"Wahkiakum County, Washington",4035,29.0
38,103,"Wells County, North Dakota",4204,28.8
51,115,"Mathews County, Virginia",8880,28.799999999999997
12,085,"Martin County, Florida",151586,28.799999999999997
48,447,"Throckmorton County, Texas",1545,28.7
26,119,"Montmorency County, Michigan",9401,28.7
12,021,"Collier County, Florida",341091,28.7
08,055,"Huerfano County, Colorado",6502,28.699999999999996
48,403,"Sabine County, Texas",10440,28.6
38,047,"Logan County, North Dakota",1945,28.6
47,035,"Cumberland County, Tennessee",57455,28.4
38,063,"Nelson County, North Dakota",3048,28.4
26,141,"Presque Isle County, Michigan",13037,28.300000000000004
30,039,"Granite County, Montana",3168,28.3
51,119,"Middlesex County, Virginia",10717,28.3
08,027,"Custer County, Colorado",4303,28.199999999999996
55,125,"Vilas County, Wisconsin",21355,28.199999999999996
48,171,"Gillespie County, Texas",25398,28.0
53,055,"San Juan County, Washington",15956,28.0
55,051,"Iron County, Wisconsin",5907,27.8
26,071,"Iron County, Michigan",11507,27.8
38,083,"Sheridan County, North Dakota",1337,27.799999999999997
48,267,"Kimble County, Texas",4486,27.700000000000003
38,037,"Grant County, North Dakota",2362,27.7
37,175,"Transylvania County, North Carolina",32928,27.7
26,069,"Iosco County, Michigan",25401,27.699999999999996
20,039,"Decatur County, Kansas",2905,27.5
