# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van dagwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/gehomogeniseerde-reeks-maandtemperaturen-de-bilt> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 240:         4.790       52.318      -3.30  SCHIPHOL
# 
# YYYYMMDD = Date (YYYY=year MM=month DD=day); 
# FG       = Daily mean windspeed (in 0.1 m/s); 
# TG       = Daily mean temperature in (0.1 degrees Celsius); 
# TN       = Minimum temperature (in 0.1 degrees Celsius); 
# Q        = Global radiation (in J/cm2); 
# RH       = Daily precipitation amount (in 0.1 mm) (-1 for <0.05 mm); 
# PG       = Daily mean sea level pressure (in 0.1 hPa) calculated from 24 hourly values; 
# UG       = Daily mean relative atmospheric humidity (in percents); 
#
STN,YYYYMMDD,   FG,   TG,   TN,    Q,   RH,   PG,   UG
  240,20170831,   35,  148,   98, 1376,   19,10166,   80
  240,20170901,   19,  147,   89, 1079,   -1,10207,   76
  240,20170902,   23,  144,   89, 1848,    0,10207,   76
  240,20170903,   20,  146,   74, 1755,    0,10160,   78
  240,20170904,   36,  170,  112, 1486,   -1,10149,   75
  240,20170905,   48,  186,  165,  772,    1,10148,   85
  240,20170906,   67,  160,  133,  913,   32,10149,   78
  240,20170907,   53,  162,  139, 1062,   30,10127,   75
  240,20170908,   63,  149,  126,  272,  672, 9990,   94
  240,20170909,   45,  141,  102, 1038,   70, 9966,   84
  240,20170910,   70,  144,   99, 1129,    5, 9990,   84
  240,20170911,   90,  141,  120,  895,  172, 9932,   86
  240,20170912,   74,  149,  128, 1231,   27,10030,   75
  240,20170913,  111,  147,  121, 1047,   55, 9961,   72
  240,20170914,   67,  127,   99,  610,  136,10023,   80
  240,20170915,   46,  126,   92, 1271,  102,10099,   84
  240,20170916,   39,  116,   87,  643,   95,10101,   90
  240,20170917,   24,  119,   60, 1250,   21,10123,   84
  240,20170918,   30,  122,   84, 1102,    1,10128,   87
  240,20170919,   23,  127,   95, 1044,   -1,10184,   84
  240,20170920,   38,  143,  106,  945,    5,10194,   80
  240,20170921,   40,  144,  109, 1264,    0,10190,   79
  240,20170922,   19,  123,   72,  512,    2,10208,   90
