# Helium spectrum on top of atmosphere PAMELA, The Astrophysical Journal, 770:2 (9pp), 2013 June 10
# Kinetic energy in GeV/nucleon, and fluxes in  (GeV n−1 m2 s sr)−1
#
#               4He                        3He
#Ekmin  Ekmax   Flux     stat     syst     Flux   stat  syst  ratio    stat     syst
0.126   0.141   2.03e2   0.06e2   0.04e2   17.1   1.8   0.4   8.4e−2   0.9e−2   0.4e−2
0.141   0.158   2.20e2   0.06e2   0.04e2   21.3   1.7   0.5   9.7e−2   0.8e−2   0.4e−2
0.158   0.177   2.27e2   0.06e2   0.04e2   23.4   1.5   0.5   1.03e−1  0.07e−1  0.04e−1
0.177   0.198   2.33e2   0.06e2   0.04e2   24.8   1.4   0.5   1.06e−1  0.06e−1  0.04e−1
0.198   0.222   2.38e2   0.05e2   0.04e2   25.4   1.2   0.5   1.07e−1  0.06e−1  0.04e−1
0.222   0.249   2.42e2   0.05e2   0.04e2   26.7   1.2   0.5   1.10e−1  0.05e−1  0.04e−1
0.249   0.279   2.39e2   0.05e2   0.04e2   27.3   1.0   0.5   1.14e−1  0.05e−1  0.04e−1
0.279   0.312   2.37e2   0.04e2   0.04e2   28.2   1.0   0.5   1.19e−1  0.05e−1  0.04e−1
0.312   0.350   2.29e2   0.04e2   0.04e2   28.4   0.9   0.5   1.24e−1  0.04e−1  0.04e−1
0.350   0.392   2.22e2   0.04e2   0.04e2   28.9   0.8   0.6   1.30e−1  0.04e−1  0.05e−1
0.392   0.439   2.11e2   0.03e2   0.04e2   29.2   0.8   0.6   1.39e−1  0.04e−1  0.05e−1
0.439   0.492   1.93e2   0.03e2   0.03e2   28.6   0.8   0.6   1.49e−1  0.04e−1  0.06e−1
0.492   0.551   1.84e2   0.03e2   0.03e2   27.3   0.7   0.6   1.49e−1  0.04e−1  0.06e−1
0.551   0.618   1.72e2   0.02e2   0.03e2   26.5   0.7   0.5   1.55e−1  0.05e−1  0.06e−1
0.618   0.692   1.59e2   0.02e2   0.03e2   25.4   0.7   0.6   1.60e−1  0.05e−1  0.06e−1
0.692   0.776   1.44e2   0.02e2   0.03e2   24.5   0.6   0.5   1.70e−1  0.05e−1  0.07e−1
0.776   0.870  1.292e2  0.020e2  0.023e2   23.0   0.6   0.5   1.78e−1  0.05e−1  0.07e−1
