# Helium spectrum on top of atmosphere PAMELA, The Astrophysical Journal, 770:2 (9pp), 2013 June 10
# Kinetic energy in GeV/nucleon, and fluxes in  (GeV n−1 m2 s sr)−1
#
#               1H                         2H
#Ekmin  Ekmax   Flux     stat     syst     Flux   stat  syst   ratio    stat     syst
0.120   0.132   9.86e2   0.15e2   0.31e2   30.8   1.8   1.0    3.12e−2  0.19e−2  0.20e−2
0.132   0.144   1.064e3  0.014e3  0.030e3  33.0   1.6   0.9    3.10e−2  0.15e−2  0.18e−2
0.144   0.158   1.136e3  0.013e3  0.029e3  34.2   1.4   0.9    3.01e−2  0.13e−2  0.16e−2
0.158   0.173   1.182e3  0.012e3  0.028e3  35.1   1.4   0.8    2.97e−2  0.12e−2  0.14e−2
0.173   0.190   1.233e3  0.012e3  0.027e3  35.3   1.3   0.8    2.86e−2  0.11e−2  0.13e−2
0.190   0.208   1.300e3  0.011e3  0.027e3  36.6   1.3   0.8    2.81e−2  0.10e−2  0.12e−2
0.208   0.228   1.351e3  0.010e3  0.027e3  37.1   1.2   0.7    2.74e−2  0.09e−2  0.11e−2
0.228   0.250   1.405e3  0.010e3  0.027e3  36.3   1.1   0.7    2.58e−2  0.08e−2  0.10e−2
0.250   0.274   1.453e3  0.009e3  0.027e3  34.5   1.0   0.6    2.37e−2  0.07e−2  0.09e−2
0.274   0.300   1.486e3  0.008e3  0.027e3  33.9   0.9   0.6    2.28e−2  0.06e−2  0.08e−2
0.300   0.329   1.514e3  0.008e3  0.027e3  34.1   0.9   0.6    2.25e−2  0.06e−2  0.08e−2
0.329   0.361   1.517e3  0.007e3  0.026e3  33.6   0.9   0.6    2.22e−2  0.06e−2  0.08e−2
0.361   0.395   1.520e3  0.007e3  0.026e3  32.0   0.8   0.6    2.10e−2  0.06e−2  0.07e−2
0.395   0.433   1.484e3  0.006e3  0.025e3  31.4   0.8   0.6    2.11e−2  0.05e−2  0.07e−2
0.433   0.475   1.480e3  0.006e3  0.025e3  30.6   0.8   0.5    2.07e−2  0.05e−2  0.07e−2
0.475   0.520   1.499e3  0.006e3  0.025e3  29.9   0.8   0.5    2.00e−2  0.05e−2  0.07e−2
0.520   0.570   1.429e3  0.005e3  0.024e3  29.0   0.8   0.5    2.03e−2  0.06e−2  0.07e−2
