# H spectra on top of atmosphere, PAMELA, The Astrophysical Journal, 770:2 (9pp), 2013 June 10
# kinetic energy is in GeV and spectra in (m2 s sr MeV)−1
#            2006 Nov 13–2006 Dec 4          2007 Nov 30–2007 Dec 27                2008 Nov 19–2008 Dec 15                2009 Dec 6–2010 Jan 1
#Ekmin Ekmax Flux      stat    +sys   -sys   Flux      stat       +sys     -sys     Flux      stat       +sys     -sys     Flux      stat       +sys    -sys
0.082  0.095 0.721     0.032   0.061  0.100  1.045     0.031      0.090    0.102    1.191     0.035      0.105    0.104    1.730     0.143      0.266    0.163
0.095  0.10  0.759     0.036   0.063  0.096  1.111     0.030      0.094    0.098    1.332     0.034      0.116    0.100    1.722     0.156      0.263    0.160
0.10   0.11  0.818     0.030   0.067  0.093  1.151     0.027      0.097    0.094    1.401     0.031      0.121    0.097    2.016     0.134      0.307    0.158
0.11   0.12  0.893     0.034   0.072  0.089  1.230     0.027      0.102    0.091    1.477     0.031      0.126    0.094    2.210     0.151      0.336    0.157
0.12   0.13  0.928     0.030   0.074  0.086  1.334     0.026      0.110    0.088    1.543     0.029      0.131    0.091    2.162     0.129      0.327    0.155
0.13   0.15  0.960     0.028   0.076  0.084  1.411     0.025      0.115    0.086    1.607     0.027      0.135    0.089    2.256     0.123      0.341    0.154
0.15   0.16  1.030     0.028   0.081  0.083  1.453     0.023      0.117    0.085    1.675     0.026      0.139    0.087    2.447     0.122      0.368    0.153
0.16   0.17  1.085     0.027   0.084  0.081  1.477     0.022      0.118    0.083    1.727     0.025      0.142    0.085    2.359     0.112      0.354    0.152
0.17   0.19  1.123     0.025   0.086  0.079  1.545     0.021      0.122    0.081    1.805     0.024      0.147    0.084    2.277     0.102      0.341    0.151
0.19   0.21  1.164     0.024   0.088  0.078  1.613     0.020      0.126    0.080    1.865     0.023      0.150    0.082    2.423     0.097      0.362    0.150
0.21   0.22  1.194     0.022   0.090  0.076  1.634     0.019      0.126    0.078    1.899     0.021      0.152    0.081    2.592     0.093      0.386    0.149
0.22   0.24  1.222     0.022   0.091  0.075  1.673     0.018      0.128    0.077    1.968     0.021      0.156    0.080    2.647     0.091      0.393    0.149
0.24   0.26  1.278     0.021   0.094  0.074  1.732     0.018      0.131    0.076    2.031     0.020      0.159    0.079    2.682     0.088      0.397    0.148
0.26   0.29  1.359     0.020   0.098  0.073  1.775     0.017      0.133    0.075    2.047     0.019      0.159    0.078    2.684     0.082      0.396    0.148
0.29   0.31  1.371     0.020   0.098  0.072  1.788     0.016      0.132    0.074    2.025     0.018      0.155    0.077    2.603     0.077      0.383    0.147
0.31   0.34  1.380     0.019   0.098  0.071  1.818     0.016      0.133    0.073    2.040     0.017      0.155    0.076    2.656     0.075      0.390    0.147
0.34   0.36  1.381     0.018   0.097  0.070  1.822     0.015      0.132    0.072    2.036     0.017      0.153    0.075    2.633     0.072      0.385    0.146
0.36   0.39  1.398     0.017   0.097  0.069  1.816     0.014      0.130    0.072    2.019     0.016      0.150    0.074    2.504     0.067      0.366    0.146
