# The Astrophysical Journal, 678:262-273, 2008, arXiv:0801.0582
# energy in GeV/nucleon, fluxes in (m^2 s sr GeV/amu)−1
# Si (Z = 14)
#Emin   Emax  E     N      Flux +stat -stat scale
0.8     1.0   0.9   3127   3.07 0.06  0.06  1e−1
1.0     1.3   1.1   2812   2.27 0.04  0.04  1e−1
1.3     1.9   1.5   4292   1.39 0.02  0.02  1e−1
12      73    28    36369  5.23 0.03  0.03  1e−4
73      292   138   2278   7.2  0.2   0.2   1e−6
567     696   627   18     1.3  0.3   0.3   1e−7
696     1316  946   24     4.0  0.8   0.8   1e−8
1316    -     2088  6      2.2  1.3   0.9   1e−9
