# The Astrophysical Journal, 678:262-273, 2008, arXiv:0801.0582
# energy in GeV/nucleon, fluxes in (m^2 s sr GeV/amu)−1
# Mg (Z = 12)
#Emin   Emax  E     N      Flux +stat -stat scale
0.8     1.0   0.9   4603   4.02 0.06  0.06  1e−1
1.0     1.3   1.1   4184   2.96 0.05  0.05  1e−1
1.3     1.9   1.5   6339   1.89 0.02  0.02  1e−1
12      292   48    59374  1.60 0.01  0.01  1e−4
696     1316  946   23     3.6  0.7   0.7   1e−8
1316    2627  1834  9      6.3  2.9   2.1   1e−9
2627    6371  4001  1      2.4  5.6   2.0   1e−10
6371    -     10113 1      6.7  15.4  5.5   1e−11
