# The Astrophysical Journal, 678:262-273, 2008, arXiv:0801.0582
# energy in GeV/nucleon, fluxes in (m^2 s sr GeV/amu)−1
# Fe (Z = 26)
#Emin   Emax  E     N      Flux +stat -stat scale
0.8     1.0   0.9   1821   2.21 0.05  0.05  1e−1
1.0     1.3   1.1   1669   1.65 0.04  0.04  1e−1
1.3     1.8   1.5   2166   1.02 0.02  0.02  1e−1
1.8     2.3   2.0   1388   6.2  0.2   0.2   1e−2
12      23    16    10589  1.22 0.02  0.02  1e−3
23      41    30    4468   2.80 0.04  0.04  1e−4
41      92    60    2132   4.7  0.1   0.1   1e−5
92      412   183   543    1.9  0.1   0.1   1e−6
529     606   566   9      1.3  0.6   0.4  -1e−7
606     895   733   12     5.2  1.5   1.5   1e−8
895     -     1421  11     7.4  2.2   2.2   1e−9
