# The Astrophysical Journal, 678:262-273, 2008, arXiv:0801.0582
# energy in GeV/nucleon, fluxes in (m^2 s sr GeV/amu)−1
# Ne (Z = 10)
#Emin   Emax  E     N      Flux +stat -stat scale
0.8     1.0   0.9   4031   3.08 0.05  0.05  1e−1
1.0     1.3   1.1   3790   2.42 0.04  0.04  1e−1
1.3     1.9   1.5   5639   1.48 0.02  0.02  1e−1
12      292   48    57991  1.21 0.01  0.01  1e−4
895     1316  1080  16     3.2  0.8   0.8   1e−8
1316    2627  1834  13     8.2  2.3   2.3   1e−9
2627    6371  4001  4      8.9  6.9   4.2   1e−10
6371    9834  7872  1      2.2  5.0   1.8   1e−10
9834    -     15611 2      7.8  10.1  5.0   1e−11
