# The Astrophysical Journal, 678:262-273, 2008, arXiv:0801.0582
# energy in GeV/nucleon, fluxes in (m^2 s sr GeV/amu)−1
# O (Z = 8)
#Emin   Emax  E     N      Flux +stat -stat scale
0.8     1.0   0.9   25437  1.71 0.01  0.01  1e0
1.0     1.3   1.1   24237  1.38 0.01  0.01  1e0
1.3     1.9   1.5   38226  8.95 0.05  0.05  1e−1
12      292   48    456918 7.27 0.01  0.01  1e−4
1315    2627  1834  77     4.4  0.5   0.5   1e−8
2627    6371  4001  29     5.8  1.1   1.1   1e−9
6371    9834  7872  5      9.1  6.0   3.9   1e−10
9834    -     15611 6      2.0  1.2   0.8   1e−10
