tab 	samples
azimuth	bed_dip	bed_dip_direction	citations	dip	location	method_codes	sample	site	software_packages
183.0	5.0	59.0	This study	76.0	unknown	FS-FD:SO-MAG	is001a	is001	pmagpy-3.22.1
207.0	5.0	59.0	This study	80.0	unknown	FS-FD:SO-MAG	is001b	is001	pmagpy-3.22.1
192.0	5.0	59.0	This study	59.0	unknown	FS-FD:SO-MAG	is001c	is001	pmagpy-3.22.1
276.0	5.0	59.0	This study	79.0	unknown	FS-FD:SO-MAG	is001d	is001	pmagpy-3.22.1
198.0	5.0	59.0	This study	34.0	unknown	FS-FD:SO-MAG	is001e	is001	pmagpy-3.22.1
203.0	5.0	59.0	This study	64.0	unknown	FS-FD:SO-MAG	is001f	is001	pmagpy-3.22.1
230.0	5.0	59.0	This study	48.0	unknown	FS-FD:SO-MAG	is001g	is001	pmagpy-3.22.1
310.0	5.0	59.0	This study	56.0	unknown	FS-FD:SO-MAG	is001h	is001	pmagpy-3.22.1
177.0	5.0	59.0	This study	39.0	unknown	FS-FD:SO-MAG	is001i	is001	pmagpy-3.22.1
150.0	5.0	59.0	This study	58.0	unknown	FS-FD:SO-MAG	is001j	is001	pmagpy-3.22.1
121.0	5.0	59.0	This study	49.0	unknown	FS-FD:SO-MAG	is001k	is001	pmagpy-3.22.1
249.0	5.0	59.0	This study	45.0	unknown	FS-FD:SO-MAG	is001l	is001	pmagpy-3.22.1
296.0	5.0	59.0	This study	51.0	unknown	FS-FD:SO-MAG	is001m	is001	pmagpy-3.22.1
287.0	5.0	59.0	This study	57.0	unknown	FS-FD:SO-MAG	is001n	is001	pmagpy-3.22.1
238.0	5.0	59.0	This study	34.0	unknown	FS-FD:SO-MAG	is001o	is001	pmagpy-3.22.1
220.0	5.0	59.0	This study	35.0	unknown	FS-FD:SO-MAG	is001p	is001	pmagpy-3.22.1
280.0	5.0	59.0	This study	34.0	unknown	FS-FD:SO-MAG	is002a	is002	pmagpy-3.22.1
329.0	5.0	59.0	This study	39.0	unknown	FS-FD:SO-MAG	is002b	is002	pmagpy-3.22.1
249.0	5.0	59.0	This study	82.0	unknown	FS-FD:SO-MAG	is002c	is002	pmagpy-3.22.1
249.0	5.0	59.0	This study	83.0	unknown	FS-FD:SO-MAG	is002d	is002	pmagpy-3.22.1
262.0	5.0	59.0	This study	78.0	unknown	FS-FD:SO-MAG	is002e	is002	pmagpy-3.22.1
314.0	5.0	59.0	This study	90.0	unknown	FS-FD:SO-MAG	is002f	is002	pmagpy-3.22.1
81.0	5.0	59.0	This study	51.0	unknown	FS-FD:SO-MAG	is002g	is002	pmagpy-3.22.1
86.0	5.0	59.0	This study	81.0	unknown	FS-FD:SO-MAG	is002h	is002	pmagpy-3.22.1
83.0	5.0	59.0	This study	87.0	unknown	FS-FD:SO-MAG	is002i	is002	pmagpy-3.22.1
79.0	5.0	59.0	This study	26.0	unknown	FS-FD:SO-MAG	is002j	is002	pmagpy-3.22.1
134.0	5.0	59.0	This study	72.0	unknown	FS-FD:SO-MAG	is002k	is002	pmagpy-3.22.1
292.0	5.0	59.0	This study	47.0	unknown	FS-FD:SO-MAG	is003a	is003	pmagpy-3.22.1
257.0	5.0	59.0	This study	66.0	unknown	FS-FD:SO-MAG	is003b	is003	pmagpy-3.22.1
212.0	5.0	59.0	This study	71.0	unknown	FS-FD:SO-MAG	is003c	is003	pmagpy-3.22.1
233.0	5.0	59.0	This study	65.0	unknown	FS-FD:SO-MAG	is003d	is003	pmagpy-3.22.1
185.0	5.0	59.0	This study	69.0	unknown	FS-FD:SO-MAG	is003e	is003	pmagpy-3.22.1
242.0	5.0	59.0	This study	69.0	unknown	FS-FD:SO-MAG	is003f	is003	pmagpy-3.22.1
242.0	5.0	59.0	This study	73.0	unknown	FS-FD:SO-MAG	is003g	is003	pmagpy-3.22.1
298.0	5.0	59.0	This study	22.0	unknown	FS-FD:SO-MAG	is003h	is003	pmagpy-3.22.1
329.0	5.0	59.0	This study	38.0	unknown	FS-FD:SO-MAG	is003i	is003	pmagpy-3.22.1
330.0	5.0	59.0	This study	41.0	unknown	FS-FD:SO-MAG	is003j	is003	pmagpy-3.22.1
260.0	5.0	59.0	This study	56.0	unknown	FS-FD:SO-MAG	is004a	is004	pmagpy-3.22.1
269.0	5.0	59.0	This study	44.0	unknown	FS-FD:SO-MAG	is004b	is004	pmagpy-3.22.1
326.0	5.0	59.0	This study	51.0	unknown	FS-FD:SO-MAG	is004c	is004	pmagpy-3.22.1
271.0	5.0	59.0	This study	69.0	unknown	FS-FD:SO-MAG	is004d	is004	pmagpy-3.22.1
320.0	5.0	59.0	This study	63.0	unknown	FS-FD:SO-MAG	is004e	is004	pmagpy-3.22.1
