biblical,current
the third hour,9:00 AM
the sixth hour,12:00 noon
the seventh hour,1:00 PM
the ninth hour,3:00 PM
the tenth hour,4:00 PM
the eleventh hour,5:00 PM
the second watch,between 9 PM and midnight
the third watch,between midnight and 3 AM
the fourth watch,between 3 and 6 AM
