# Helium flux at the top of atmosphere, BESS-Polar, arXiv:1506.01267
# Energy in GeV, Fluxes in (m2 sr s GeV)-1
#                         BESS-Polar I                                        BESS-Polar II
#Emin   Emax     E        Flux         stat         +syst        -syst        Flux         stat      +syst        -syst
0.200   0.211    0.205    1.556e2      0.016e2      0.034e2      0.034e2      3.416e2      0.008e2   0.077e2     0.077e2
0.211   0.224    0.218    1.644e2      0.016e2      0.035e2      0.035e2      3.403e2      0.008e2   0.077e2     0.077e2
0.224   0.237    0.231    1.645e2      0.015e2      0.035e2      0.035e2      3.394e2      0.008e2   0.077e2     0.077e2
0.237   0.251    0.244    1.674e2      0.015e2      0.036e2      0.036e2      3.349e2      0.007e2   0.076e2     0.076e2
0.251   0.266    0.259    1.715e2      0.014e2      0.036e2      0.036e2      3.302e2      0.007e2   0.075e2     0.075e2
0.266   0.282    0.274    1.693e2      0.014e2      0.035e2      0.035e2      3.259e2      0.007e2   0.074e2     0.074e2
0.282   0.298    0.290    1.699e2      0.013e2      0.036e2      0.036e2      3.167e2      0.006e2   0.072e2     0.072e2
0.298   0.316    0.307    1.676e2      0.013e2      0.035e2      0.035e2      3.112e2      0.006e2   0.070e2     0.070e2
0.316   0.335    0.326    1.667e2      0.012e2      0.035e2      0.035e2      3.020e2      0.006e2   0.068e2     0.068e2
0.335   0.355    0.345    1.645e2      0.012e2      0.034e2      0.034e2      2.938e2      0.006e2   0.066e2     0.066e2
0.355   0.376    0.365    1.651e2      0.012e2      0.035e2      0.035e2      2.855e2      0.005e2   0.065e2     0.065e2
0.376   0.398    0.387    1.623e2      0.011e2      0.034e2      0.034e2      2.752e2      0.005e2   0.062e2     0.062e2
0.398   0.422    0.410    1.584e2      0.011e2      0.034e2      0.034e2      2.667e2      0.005e2   0.061e2     0.061e2
0.422   0.447    0.434    1.555e2      0.010e2      0.033e2      0.033e2      2.557e2      0.005e2   0.059e2     0.059e2
0.447   0.473    0.460    1.527e2      0.010e2      0.033e2      0.033e2      2.464e2      0.005e2   0.057e2     0.057e2
0.473   0.501    0.487    1.487e2      0.009e2      0.032e2      0.032e2      2.362e2      0.004e2   0.056e2     0.056e2
0.501   0.531    0.516    1.446e2      0.009e2      0.032e2      0.032e2      2.256e2      0.004e2   0.054e2     0.054e2
0.531   0.562    0.546    1.402e2      0.008e2      0.032e2      0.032e2      2.156e2      0.004e2   0.053e2     0.053e2
0.562   0.596    0.579    1.337e2      0.008e2      0.030e2      0.030e2      2.053e2      0.004e2   0.050e2     0.050e2
