# Helium flux at the top of atmosphere, BESS-Polar, arXiv:1506.01267
# Energy in GeV, Fluxes in (m2 sr s GeV)-1
#                         BESS-Polar I                                        BESS-Polar II
#Emin   Emax     E        Flux         stat         +syst        -syst        Flux         stat      +syst        -syst
0.596   0.631    0.613    1.295e2      0.008e2      0.030e2      0.030e2      1.946e2      0.003e2   0.048e2     0.048e2
0.631   0.668    0.649    1.261e2      0.007e2      0.029e2      0.029e2      1.838e2      0.003e2   0.047e2     0.047e2
0.668   0.708    0.688    1.198e2      0.007e2      0.028e2      0.028e2      1.737e2      0.003e2   0.045e2     0.045e2
0.708   0.750    0.729    1.142e2      0.007e2      0.027e2      0.027e2      1.641e2      0.003e2   0.042e2     0.042e2
0.750   0.794    0.772    1.088e2      0.006e2      0.026e2      0.026e2      1.543e2      0.003e2   0.040e2     0.040e2
0.794   0.841    0.818    1.047e2      0.006e2      0.025e2      0.025e2      1.442e2      0.003e2   0.038e2     0.038e2
0.841   0.891    0.866    9.876e1      0.056e1      0.239e1      0.239e1      1.352e2      0.002e2   0.036e2     0.036e2
0.891   0.944    0.917    9.476e1      0.053e1      0.230e1      0.230e1      1.256e2      0.002e2   0.033e2     0.033e2
0.944   1.000    0.972    8.692e1      0.049e1      0.212e1      0.212e1      1.169e2      0.002e2   0.031e2     0.031e2
1.000   1.080    1.039    8.162e1      0.040e1      0.199e1      0.199e1      1.075e2      0.002e2   0.029e2     0.029e2
1.080   1.166    1.122    7.431e1      0.037e1      0.181e1      0.181e1      9.666e1      0.016e1   0.256e1     0.256e1
1.166   1.259    1.212    6.871e1      0.034e1      0.168e1      0.168e1      8.658e1      0.014e1   0.229e1     0.229e1
1.259   1.359    1.308    6.155e1      0.031e1      0.150e1      0.150e1      7.737e1      0.013e1   0.205e1     0.205e1
1.359   1.468    1.413    5.553e1      0.028e1      0.135e1      0.135e1      6.908e1      0.012e1   0.182e1     0.182e1
1.468   1.585    1.525    5.030e1      0.026e1      0.122e1      0.122e1      6.112e1      0.011e1   0.161e1     0.161e1
1.585   1.711    1.647    4.456e1      0.024e1      0.107e1      0.107e1      5.397e1      0.010e1   0.142e1     0.142e1
1.711   1.848    1.778    3.986e1      0.022e1      0.096e1      0.096e1      4.729e1      0.009e1   0.124e1     0.124e1
1.848   1.995    1.920    3.541e1      0.020e1      0.084e1      0.084e1      4.164e1      0.008e1   0.109e1     0.109e1
1.995   2.154    2.073    3.126e1      0.018e1      0.074e1      0.074e1      3.653e1      0.007e1   0.095e1     0.095e1
2.154   2.326    2.239    2.774e1      0.016e1      0.065e1      0.065e1      3.189e1      0.006e1   0.083e1     0.083e1
2.326   2.512    2.417    2.409e1      0.014e1      0.056e1      0.056e1      2.774e1      0.006e1   0.072e1     0.072e1
2.512   2.712    2.610    2.118e1      0.013e1      0.049e1      0.049e1      2.396e1      0.005e1   0.062e1     0.062e1
2.712   2.929    2.818    1.856e1      0.012e1      0.043e1      0.043e1      2.080e1      0.005e1   0.054e1     0.054e1
2.929   3.162    3.043    1.603e1      0.011e1      0.037e1      0.037e1      1.793e1      0.004e1   0.046e1     0.046e1
3.162   3.481    3.318    1.364e1      0.008e1      0.031e1      0.031e1      1.513e1      0.003e1   0.039e1     0.039e1
3.481   3.831    3.652    1.132e1      0.007e1      0.026e1      0.026e1      1.243e1      0.003e1   0.032e1     0.032e1
3.831   4.217    4.019    9.400        0.063        0.210        0.210        1.012e1      0.002e1   0.026e1     0.026e1
4.217   4.642    4.424    7.615        0.054        0.170        0.170        8.272        0.021     0.208       0.208
4.642   5.109    4.869    6.318        0.047        0.140        0.140        6.756        0.018     0.169       0.169
5.109   5.623    5.360    5.160        0.041        0.115        0.115        5.449        0.016     0.136       0.136
5.623   6.190    5.899    4.101        0.035        0.091        0.091        4.356        0.013     0.109       0.109
6.190   6.813    6.493    3.363        0.030        0.075        0.075        3.502        0.011     0.088       0.088
6.813   7.499    7.147    2.685        0.026        0.060        0.060        2.813        0.010     0.070       0.070
7.499   8.254    7.866    2.136        0.022        0.048        0.048        2.248        0.008     0.056       0.056
8.254   9.085    8.658    1.752        0.019        0.040        0.040        1.796        0.007     0.045       0.045
9.085   10.00    9.530    1.348        0.016        0.031        0.031        1.407        0.006     0.035       0.035
10.00   11.22    10.59    1.062        0.012        0.025        0.025        1.105        0.005     0.028       0.028
11.22   12.59    11.88    8.080e-1     0.100e-1     0.195e-1     0.195e-1     8.200e-1     0.038e-1  0.208e-1    0.208e-1
12.59   14.13    13.33    5.923e-1     0.081e-1     0.147e-1     0.147e-1     6.165e-1     0.031e-1  0.157e-1    0.157e-1
14.13   15.85    14.96    4.461e-1     0.066e-1     0.115e-1     0.115e-1     4.626e-1     0.025e-1  0.119e-1    0.119e-1
15.85   17.78    16.78    3.346e-1     0.054e-1     0.089e-1     0.089e-1     3.405e-1     0.021e-1  0.088e-1    0.088e-1
17.78   19.95    18.83    2.502e-1     0.044e-1     0.070e-1     0.070e-1     2.563e-1     0.017e-1  0.068e-1    0.068e-1
19.95   22.39    21.13    1.761e-1     0.035e-1     0.051e-1     0.051e-1     1.870e-1     0.014e-1  0.050e-1    0.050e-1
22.39   25.12    23.71    1.376e-1     0.029e-1     0.042e-1     0.042e-1     1.418e-1     0.011e-1  0.039e-1    0.039e-1
25.12   28.18    26.60    1.023e-1     0.024e-1     0.033e-1     0.033e-1     1.030e-1     0.009e-1  0.029e-1    0.029e-1
28.18   31.62    29.84    7.362e-2     0.192e-2     0.249e-2     0.249e-2     7.770e-2     0.074e-2  0.224e-2    0.224e-2
31.62   38.31    34.77    4.957e-2     0.113e-2     0.177e-2     0.177e-2     5.068e-2     0.043e-2  0.152e-2    0.152e-2
38.31   46.42    42.12    2.947e-2     0.080e-2     0.112e-2     0.112e-2     3.040e-2     0.030e-2  0.096e-2    0.096e-2
46.42   56.23    51.03    1.819e-2     0.057e-2     0.074e-2     0.074e-2     1.848e-2     0.021e-2  0.064e-2    0.064e-2
56.23   68.13    61.83    1.160e-2     0.041e-2     0.050e-2     0.050e-2     1.147e-2     0.015e-2  0.043e-2    0.043e-2
68.13   82.54    74.91    6.734e-3     0.288e-3     0.323e-3     0.323e-3     6.597e-3     0.106e-3  0.286e-3    0.286e-3
