# Proton flux at top of atmosphere from BESS, astro-ph/0611388
# energies are in GeV/nucleon, flux in (m−2 sr−1 s−1 GeV−1 nucleon)
#           BESS 1997             BESS 1998             BESS 1999             BESS 2000             BESS 2002
#Emin Emax  Flux   stat   syst    Flux   stat   syst    Flux   stat   syst    Flux   stat   syst    Flux   stat   syst
3.98  4.64  1.39e2 0.02e2 0.07e2  1.27e2 0.02e2 0.07e2  1.15e2 0.02e2 0.07e2  7.75e1 0.09e1 0.45e1  9.34e1 0.09e1 0.27e1
4.64  5.41  1.00e2 0.01e2 0.05e2  9.95e1 0.15e1 0.58e1  9.28e1 0.15e1 0.54e1  6.24e1 0.07e1 0.37e1  7.30e1 0.07e1 0.21e1
5.41  6.31  7.54e1 0.11e1 0.37e1  7.08e1 0.12e1 0.42e1  6.68e1 0.12e1 0.39e1  4.97e1 0.06e1 0.29e1  5.59e1 0.06e1 0.16e1
6.31  7.36  5.33e1 0.13e1 0.26e1  5.01e1 0.02e1 0.30e1  4.82e1 0.03e1 0.29e1  3.74e1 0.02e1 0.22e1  4.30e1 0.05e1 0.12e1
7.36  8.58  3.65e1 0.10e1 0.18e1  3.45e1 0.01e1 0.21e1  3.34e1 0.02e1 0.20e1  2.70e1 0.01e1 0.16e1  3.11e1 0.04e1 0.09e1
8.58  10.0  2.73e1 0.08e1 0.13e1  2.41e1 0.01e1 0.15e1  2.43e1 0.02e1 0.15e1  2.04e1 0.01e1 0.12e1  2.22e1 0.03e1 0.06e1
10.0  11.7  1.86e1 0.06e1 0.09e1  1.65e1 0.01e1 0.10e1  1.60e1 0.01e1 0.10e1  1.42e1 0.01e1 0.09e1  1.55e1 0.01e1 0.05e1
11.7  13.6  1.25e1 0.05e1 0.06e1  1.20e1 0.01e1 0.07e1  1.16e1 0.01e1 0.07e1  1.06e1 0.01e1 0.06e1  1.09e1 0.01e1 0.04e1
13.6  15.8  8.63   0.37   0.42    7.96   0.05   0.49    7.88   0.07   0.48    7.22   0.04   0.44    7.49   0.04   0.27
15.8  18.5  5.71   0.28   0.28    5.61   0.04   0.34    5.52   0.06   0.34    5.15   0.03   0.31    5.21   0.03   0.19
18.5  21.5  3.68   0.21   0.18    3.91   0.03   0.24    3.79   0.05   0.23    3.60   0.03   0.22    3.53   0.03   0.14
