# Proton flux at top of atmosphere from BESS, astro-ph/0611388
# energies are in GeV/nucleon, flux in (m−2 sr−1 s−1 GeV−1 nucleon)
#           BESS 1997             BESS 1998             BESS 1999             BESS 2000             BESS 2002
#Emin Emax  Flux   stat   syst    Flux   stat   syst    Flux   stat   syst    Flux   stat   syst    Flux   stat   syst
0.215 0.251 1.83e3 0.03e3 0.13e3  1.22e3 0.02e3 0.09e3  9.88e2 0.20e2 0.76e2  1.69e2 0.04e2 0.18e2  2.22e2 0.05e2 0.17e2
0.251 0.293 1.91e3 0.02e3 0.13e3  1.29e3 0.02e3 0.09e3  1.04e3 0.02e3 0.07e3  1.92e2 0.04e2 0.18e2  2.55e2 0.05e2 0.17e2
0.293 0.342 1.92e3 0.02e3 0.12e3  1.35e3 0.02e3 0.09e3  1.12e3 0.02e3 0.07e3  2.06e2 0.04e2 0.17e2  2.81e2 0.05e2 0.17e2
0.342 0.398 1.92e3 0.02e3 0.12e3  1.35e3 0.02e3 0.09e3  1.10e3 0.02e3 0.07e3  2.13e2 0.04e2 0.17e2  3.04e2 0.05e2 0.16e2
0.398 0.464 1.84e3 0.02e3 0.11e3  1.33e3 0.02e3 0.08e3  1.09e3 0.02e3 0.07e3  2.32e2 0.04e2 0.17e2  3.21e2 0.05e2 0.16e2
0.464 0.541 1.75e3 0.02e3 0.10e3  1.27e3 0.02e3 0.08e3  1.05e3 0.01e3 0.06e3  2.33e2 0.04e2 0.16e2  3.28e2 0.04e2 0.15e2
0.541 0.631 1.66e3 0.02e3 0.09e3  1.24e3 0.01e3 0.07e3  9.85e2 0.13e2 0.57e2  2.43e2 0.04e2 0.16e2  3.51e2 0.04e2 0.14e2
0.631 0.736 1.49e3 0.01e3 0.08e3  1.16e3 0.01e3 0.07e3  9.33e2 0.12e2 0.52e2  2.46e2 0.04e2 0.16e2  3.52e2 0.04e2 0.13e2
0.736 0.858 1.37e3 0.01e3 0.07e3  1.07e3 0.01e3 0.06e3  8.57e2 0.10e2 0.47e2  2.48e2 0.03e2 0.15e2  3.46e2 0.04e2 0.12e2
0.858 1.000 1.20e3 0.01e3 0.06e3  9.79e2 0.10e2 0.52e2  8.32e2 0.10e2 0.44e2  2.49e2 0.03e2 0.14e2  3.37e2 0.03e2 0.11e2
1.00  1.17  1.07e3 0.01e3 0.06e3  8.67e2 0.09e2 0.46e2  7.24e2 0.08e2 0.38e2  2.39e2 0.03e2 0.13e2  3.28e2 0.03e2 0.11e2
1.17  1.36  8.93e2 0.08e2 0.46e2  7.54e2 0.08e2 0.40e2  6.60e2 0.08e2 0.35e2  2.34e2 0.03e2 0.13e2  3.05e2 0.03e2 0.10e2
1.36  1.58  7.49e2 0.07e2 0.38e2  6.45e2 0.07e2 0.35e2  5.58e2 0.06e2 0.30e2  2.12e2 0.02e2 0.12e2  2.87e2 0.03e2 0.09e2
1.58  1.85  6.09e2 0.06e2 0.31e2  5.44e2 0.06e2 0.29e2  4.91e2 0.06e2 0.26e2  1.98e2 0.02e2 0.11e2  2.64e2 0.02e2 0.08e2
1.85  2.15  5.01e2 0.05e2 0.25e2  4.47e2 0.05e2 0.24e2  3.93e2 0.05e2 0.21e2  1.77e2 0.02e2 0.10e2  2.36e2 0.02e2 0.07e2
2.15  2.51  4.03e2 0.04e2 0.20e2  3.62e2 0.04e2 0.20e2  3.11e2 0.04e2 0.17e2  1.55e2 0.02e2 0.09e2  2.05e2 0.02e2 0.06e2
2.51  2.93  3.14e2 0.03e2 0.16e2  2.90e2 0.03e2 0.16e2  2.61e2 0.03e2 0.15e2  1.34e2 0.01e2 0.08e2  1.72e2 0.01e2 0.05e2
2.93  3.42  2.39e2 0.03e2 0.12e2  2.24e2 0.03e2 0.13e2  1.98e2 0.03e2 0.11e2  1.14e2 0.01e2 0.07e2  1.43e2 0.01e2 0.04e2
3.42  3.98  1.83e2 0.02e2 0.09e2  1.71e2 0.02e2 0.10e2  1.52e2 0.02e2 0.09e2  9.55e1 0.11e1 0.55e1  1.17e2 0.01e2 0.03e2
