# Helium flux at top of atmosphere from BESS, astro-ph/0611388
# energies are in GeV/nucleon, flux in (m−2 sr−1 s−1 GeV−1 nucleon)
#           BESS 1997                 BESS 1998                 BESS 1999                 BESS 2000                 BESS 2002
#Emin Emax  Flux    stat     syst     Flux    stat     syst     Flux    stat     syst     Flux    stat     syst     Flux    stat     syst
0.215 0.251 2.83e2  0.08e2   0.16e2   2.21e2  0.07e2   0.12e2   1.78e2  0.06e2   0.10e2   4.78e1  0.34e1   0.27e1   7.66e1  0.37e1   0.55e1
0.251 0.293 2.85e2  0.07e2   0.15e2   2.27e2  0.07e2   0.12e2   1.85e2  0.06e2   0.10e2   5.41e1  0.34e1   0.30e1   8.31e1  0.35e1   0.59e1
0.293 0.342 2.90e2  0.07e2   0.15e2   2.29e2  0.06e2   0.12e2   1.90e2  0.06e2   0.10e2   6.32e1  0.34e1   0.34e1   8.54e1  0.33e1   0.61e1
0.342 0.398 2.75e2  0.06e2   0.15e2   2.16e2  0.06e2   0.12e2   1.89e2  0.05e2   0.10e2   5.57e1  0.30e1   0.30e1   7.55e1  0.29e1   0.54e1
0.398 0.464 2.39e2  0.05e2   0.13e2   2.18e2  0.05e2   0.12e2   1.70e2  0.05e2   0.09e2   6.02e1  0.29e1   0.32e1   8.31e1  0.28e1   0.59e1
0.464 0.541 2.21e2  0.05e2   0.12e2   1.95e2  0.05e2   0.10e2   1.55e2  0.04e2   0.08e2   6.30e1  0.28e1   0.34e1   8.44e1  0.26e1   0.60e1
0.541 0.631 2.05e2  0.04e2   0.11e2   1.70e2  0.04e2   0.09e2   1.48e2  0.04e2   0.08e2   5.87e1  0.25e1   0.32e1   8.01e1  0.24e1   0.57e1
0.631 0.736 1.72e2  0.04e2   0.09e2   1.53e2  0.04e2   0.08e2   1.27e2  0.03e2   0.07e2   5.52e1  0.23e1   0.30e1   7.23e1  0.21e1   0.51e1
0.736 0.858 1.38e2  0.03e2   0.07e2   1.27e2  0.03e2   0.07e2   1.15e2  0.03e2   0.06e2   5.08e1  0.20e1   0.27e1   6.56e1  0.19e1   0.47e1
0.858 1.000 1.23e2  0.03e2   0.07e2   1.09e2  0.03e2   0.06e2   9.83e1  0.25e1   0.53e1   4.97e1  0.19e1   0.27e1   6.16e1  0.17e1   0.44e1
1.00  1.17  9.36e1  0.22e1   0.51e1   8.60e1  0.22e1   0.47e1   8.16e1  0.21e1   0.44e1   4.34e1  0.16e1   0.24e1   5.32e1  0.15e1   0.38e1
1.17  1.36  7.74e1  0.18e1   0.43e1   7.47e1  0.19e1   0.41e1   6.21e1  0.17e1   0.34e1   3.80e1  0.14e1   0.21e1   4.86e1  0.13e1   0.34e1
