# Helium flux at top of atmosphere from BESS, astro-ph/0611388
# energies are in GeV/nucleon, flux in (m−2 sr−1 s−1 GeV−1 nucleon)
#           BESS 1997                 BESS 1998                 BESS 1999                 BESS 2000                 BESS 2002
#Emin Emax  Flux    stat     syst     Flux    stat     syst     Flux    stat     syst     Flux    stat     syst     Flux    stat     syst
1.36  1.58  6.23e1  0.15e1   0.36e1   5.57e1  0.15e1   0.31e1   5.32e1  0.15e1   0.30e1   3.21e1  0.12e1   0.18e1   4.09e1  0.11e1   0.29e1
1.58  1.85  4.66e1  0.12e1   0.27e1   4.40e1  0.13e1   0.25e1   4.24e1  0.12e1   0.24e1   2.70e1  0.10e1   0.15e1   3.25e1  0.09e1   0.23e1
1.85  2.15  3.73e1  0.10e1   0.22e1   3.58e1  0.11e1   0.21e1   3.37e1  0.10e1   0.19e1   2.22e1  0.09e1   0.13e1   2.65e1  0.08e1   0.19e1
2.15  2.51  2.93e1  0.08e1   0.18e1   2.72e1  0.08e1   0.16e1   2.56e1  0.08e1   0.15e1   1.85e1  0.07e1   0.11e1   2.19e1  0.07e1   0.16e1
2.51  2.93  2.17e1  0.07e1   0.14e1   1.90e1  0.07e1   0.11e1   1.91e1  0.07e1   0.11e1   1.51e1  0.06e1   0.09e1   1.83e1  0.06e1   0.13e1
2.93  3.42  1.63e1  0.05e1   0.11e1   1.49e1  0.05e1   0.09e1   1.40e1  0.05e1   0.08e1   1.19e1  0.05e1   0.07e1   1.38e1  0.04e1   0.10e1
3.42  3.98  1.17e1  0.04e1   0.08e1   1.09e1  0.04e1   0.07e1   9.93    0.41     0.61     9.55    0.42     0.59     9.81    0.35     0.70
3.98  4.64  9.28    0.51     0.63     7.80    0.11     0.49     7.79    0.16     0.49     6.32    0.09     0.39     7.69    0.29     0.54
4.64  5.41  6.44    0.39     0.45     5.90    0.08     0.38     6.10    0.12     0.39     4.94    0.07     0.31     5.72    0.23     0.41
5.41  6.31  4.66    0.31     0.34     4.10    0.06     0.27     4.37    0.09     0.28     3.69    0.06     0.24     3.98    0.06     0.32
6.31  7.36  2.86    0.23     0.21     2.99    0.05     0.20     2.97    0.07     0.19     2.70    0.04     0.18     2.83    0.04     0.23
7.36  8.58  2.24    0.19     0.17     2.03    0.04     0.14     2.02    0.05     0.13     1.86    0.03     0.12     2.07    0.04     0.17
8.58  10.0  1.43    0.14     0.11     1.42    0.03     0.10     1.43    0.04     0.10     1.36    0.03     0.09     1.48    0.03     0.12
10.0  11.7  8.92e-1 1.04e-1  0.70e-1  9.99e-1 0.23e-1  0.68e-1  9.85e-1 0.34e-1  0.67e-1  9.32e-1 0.22e-1  0.63e-1  1.03    0.02     0.08
11.7  13.6  8.41e-1 0.94e-1  0.66e-1  6.65e-1 0.18e-1  0.45e-1  6.35e-1 0.25e-1  0.43e-1  6.95e-1 0.17e-1  0.47e-1  6.79e-1 0.16e-1  0.56e-1
13.6  15.8  4.78e-1 0.66e-1  0.38e-1  4.37e-1 0.13e-1  0.30e-1  4.77e-1 0.20e-1  0.33e-1  4.63e-1 0.13e-1  0.32e-1  4.73e-1 0.12e-1  0.39e-1
15.8  18.5  3.26e-1 0.50e-1  0.26e-1  3.08e-1 0.10e-1  0.21e-1  3.02e-1 0.15e-1  0.21e-1  3.06e-1 0.10e-1  0.21e-1  3.28e-1 0.10e-1  0.27e-1
18.5  21.5  2.47e-1 0.41e-1  0.20e-1  2.04e-1 0.08e-1  0.14e-1  2.33e-1 0.12e-1  0.16e-1  1.99e-1 0.07e-1  0.14e-1  2.14e-1 0.07e-1  0.18e-1
