# Proton flux at the top of atmosphere, BESS-Polar, arXiv:1506.01267
# Energy in GeV, Fluxes in (m2 sr s GeV)-1
#                         BESS-Polar I (2004)                                BESS-Polar II (2007)
#Emin   Emax     E        Flux          stat        +syst       -syst        Flux       stat     +syst    -syst
0.200   0.211    0.205    4.774e2       0.032e2     0.450e2     0.450e2      1.475e3    0.002e3  0.089e3  0.089e3
0.211   0.224    0.218    5.069e2       0.031e2     0.426e2     0.426e2      1.523e3    0.002e3  0.085e3  0.085e3
0.224   0.237    0.231    5.321e2       0.030e2     0.427e2     0.427e2      1.568e3    0.002e3  0.085e3  0.085e3
0.237   0.251    0.244    5.543e2       0.029e2     0.400e2     0.400e2      1.605e3    0.002e3  0.081e3  0.081e3
0.251   0.266    0.259    5.768e2       0.028e2     0.376e2     0.376e2      1.641e3    0.002e3  0.078e3  0.078e3
0.266   0.282    0.274    5.997e2       0.027e2     0.354e2     0.354e2      1.669e3    0.001e3  0.074e3  0.074e3
0.282   0.298    0.290    6.269e2       0.026e2     0.359e2     0.359e2      1.693e3    0.001e3  0.074e3  0.074e3
0.298   0.316    0.307    6.416e2       0.025e2     0.337e2     0.337e2      1.708e3    0.001e3  0.071e3  0.071e3
0.316   0.335    0.326    6.676e2       0.025e2     0.322e2     0.322e2      1.721e3    0.001e3  0.068e3  0.068e3
0.335   0.355    0.345    6.824e2       0.024e2     0.303e2     0.303e2      1.725e3    0.001e3  0.064e3  0.064e3
0.355   0.376    0.365    6.958e2       0.023e2     0.303e2     0.303e2      1.725e3    0.001e3  0.064e3  0.064e3
0.376   0.398    0.387    7.123e2       0.022e2     0.288e2     0.288e2      1.717e3    0.001e3  0.060e3  0.060e3
0.398   0.422    0.410    7.265e2       0.022e2     0.273e2     0.273e2      1.705e3    0.001e3  0.057e3  0.057e3
0.422   0.447    0.434    7.405e2       0.021e2     0.261e2     0.261e2      1.686e3    0.001e3  0.054e3  0.054e3
0.447   0.473    0.460    7.423e2       0.020e2     0.257e2     0.257e2      1.660e3    0.001e3  0.053e3  0.053e3
0.473   0.501    0.487    7.481e2       0.020e2     0.244e2     0.244e2      1.632e3    0.001e3  0.050e3  0.050e3
0.501   0.531    0.516    7.505e2       0.019e2     0.231e2     0.231e2      1.599e3    0.001e3  0.047e3  0.047e3
0.531   0.562    0.546    7.520e2       0.018e2     0.220e2     0.220e2      1.561e3    0.001e3  0.045e3  0.045e3
0.562   0.596    0.579    7.488e2       0.018e2     0.217e2     0.217e2      1.519e3    0.001e3  0.043e3  0.043e3
0.596   0.631    0.613    7.439e2       0.017e2     0.205e2     0.205e2      1.475e3    0.001e3  0.041e3  0.041e3
0.631   0.668    0.649    7.340e2       0.016e2     0.193e2     0.193e2      1.428e3    0.001e3  0.038e3  0.038e3
0.668   0.708    0.688    7.272e2       0.016e2     0.184e2     0.184e2      1.378e3    0.001e3  0.035e3  0.035e3
0.708   0.750    0.729    7.153e2       0.015e2     0.179e2     0.179e2      1.326e3    0.001e3  0.034e3  0.034e3
0.750   0.794    0.772    7.023e2       0.014e2     0.169e2     0.169e2      1.273e3    0.001e3  0.032e3  0.032e3
0.794   0.841    0.818    6.907e2       0.014e2     0.159e2     0.159e2      1.224e3    0.001e3  0.029e3  0.029e3
0.841   0.891    0.866    6.732e2       0.013e2     0.150e2     0.150e2      1.169e3    0.001e3  0.027e3  0.027e3
0.891   0.944    0.917    6.547e2       0.013e2     0.146e2     0.146e2      1.115e3    0.001e3  0.026e3  0.026e3
0.944   1.000    0.972    6.379e2       0.012e2     0.138e2     0.138e2      1.058e3    0.001e3  0.024e3  0.024e3
