# Fe, Z=26
# energies in GeV/nucleon, fluxes in  (m2 sr s GeV/n)−1
#Emin Emax  Ekin   N    Flux    +err     -err
18    40    25.4   108  5.19e4  0.56e4   0.56e4
40    58    47.0   88   8.38e5  0.89e5   0.89e5
58    101   74.9   70   2.06e5  0.25e5   0.25e5
101   175   131.0  27   4.46e6  0.85e6   0.85e6
175   304   228.2  15   1.36e6  0.46e6   0.36e6
304   529   397.2  9    4.0e7   1.80e7   1.30e7
529   919   690.9  4    1.09e7  0.79e7   0.48e7
919   -     1406.9 4    1.6e8   1.40e8   0.80e8
