# C, Z=6
# energies in GeV/nucleon, fluxes in  (m2 sr s GeV/n)−1
#Emin Emax  Ekin   N    Flux   +err   -err
66    117   86.2   171  1.67e4 0.13e4 0.13e4
117   175   141.6  139  3.37e5 0.29e5 0.29e5
175   304   228.2  215  9.42e6 0.64e6 0.64e6
304   529   397.2  134  2.28e6 0.20e6 0.20e6
529   919   691.0  66   5.17e7 0.63e7 0.63e7
919   1597  1201.5 29   1.31e7 0.24e7 0.24e7
1597  2776  2088.7 13   3.60e8 1.30e8 1.00e8
2776  4824  3630.5 7    1.04e8 0.58e8 0.40e8
4284  -     7415.1 5    1.49e9 0.98e9 0.63e9
