# O, Z=8
# energies in GeV/nucleon, fluxes in  (m2 sr s GeV/n)−1
#Emin Emax  Ekin   N    Flux    +err    -err
49    87    64.0   224  3.48e4  0.23e4  0.23e4
87    175   120.8  371  4.82e5  0.25e5  0.25e5
175   304   228.0  241  7.33e6  0.47e6  0.47e6
304   529   396.9  127  1.90e6  0.17e6  0.17e6
529   919   690.5  57   4.51e7  0.60e7  0.60e7
919   1597  1200.5 25   1.25e7  0.25e7  0.25e7
1597  2776  2087.0 10   2.90e8  1.20e8  0.90e8
2776  4824  3627.4 6    8.30e9  4.90e9  3.30e9
4284  -     7287.1 3    8.40e10 9.70e10 5.40e10
