# Ne, Z=10
# energies in GeV/nucleon, fluxes in  (m2 sr s GeV/n)−1
#Emin Emax  Ekin   N    Flux   +err   -err
40    58    47.0   37   1.20e4 0.20e4 0.20e4
58    101   74.8   65   2.59e5 0.32e5 0.32e5
101   175   130.7  67   5.53e6 0.68e6 0.68e6
175   304   227.9  36   1.06e6 0.18e6 0.18e6
304   529   396.7  19   2.86e7 0.84e7 0.66e7
529   919   690.0  8    6.50e8 3.10e8 2.20e8
919   1597  1199.8 4    1.80e8 1.40e8 0.90e8
1597  2776  2085.6 2    3.70e9 5.60e9 2.00e9
2776  -     4150.9 3    2.20e9 2.10e9 1.20e9
