# Mg, Z=12
# energies in GeV/nucleon, fluxes in  (m2 sr s GeV/n)−1
#Emin Emax  Ekin   N   Flux   +err   -err
20   40     27.0   48  4.68e4  0.67e4  0.67e4
40   58     47.0   45  1.07e4  0.16e4  0.16e4
58   101    74.9   103 2.91e5  0.29e5  0.29e5
101  175    130.8  94  5.41e6  0.56e6  0.56e6
175  304    228.0  51  1.42e6  0.20e6  0.20e6
304  529    397.0  26  3.72e7  0.73e7  0.73e7
529  919    690.6  12  8.50e8  3.30e8  2.40e8
919  1597   1200.8 4   1.90e8  1.60e8  1.00e8
1597 2776   2087.5 3   6.70e9  7.10e9  4.00e9
2776 -      4215.9 1   6.00e10 16.0e10 5.80e10
