# Si 20–40, Z=14
# energies in GeV/nucleon, fluxes in  (m2 sr s GeV/n)−1
#Emin Emax  Ekin   N    Flux    +err    -err
20   40   27.0   66  4.54e−4 0.56e−4 0.56e−4
40   58   47.0   64  1.35e−4 0.17e−4 0.17e−4
58   101  74.9   116 3.03e−5 0.28e−5 0.28e−5
101  175  130.8  89  5.04e−6 0.53e−6 0.53e−6
175  304  228.0  54  1.50e−6 0.20e−6 0.20e−6
304  529  397.0  24  3.88e−7 0.79e−7 0.79e−7
529  919  690.6  10  1.15e−7 0.48e−7 0.35e−7
919  1597 1200.7 3    1.9e−8  1.7e−8  0.9e−8
1597 -    2418.3 2    3.2e−9  3.6e−9  1.8e−9
