tab 	samples
azimuth	citations	criteria	description	dip	dir_dec	dir_inc	dir_n_specimens	dir_n_specimens_lines	dir_n_specimens_planes	dir_nrm_origin	dir_polarity	dir_tilt_correction	geologic_classes	geologic_types	int_abs	int_abs_sigma	int_abs_sigma_perc	int_n_specimens	lat	lithologies	lon	method_codes	orientation_quality	result_quality	result_type	sample	site	specimens
2.2	This study			-91.0									Igneous:Extrusive	Lava Flow					42.60352	Basalt	245.59900000000002	FS-FD:SO-CMD-NORTH:SO-POM:SO-MAG	g	g	i	sr03b	sr03	
359.8	This study			-88.0									Igneous:Extrusive	Lava Flow					42.60352	Basalt	245.59900000000002	FS-FD:SO-CMD-NORTH:SO-POM:SO-MAG	g	g	i	sr03c	sr03	
	This study	DE-SPEC	sample direction.		159.8	-60.3	1.0	1.0	0.0	p	n	0.0										DA-DIR-GEO:DE-BFL:SO-CMD-NORTH:LP-DIR-T		g	i	sr03c	sr03	sr03c1
18.5	This study			-87.0									Igneous:Extrusive	Lava Flow					42.60352	Basalt	245.59900000000002	FS-FD:SO-CMD-NORTH:SO-POM:SO-MAG	g	g	i	sr03d	sr03	
2.4	This study			-83.0									Igneous:Extrusive	Lava Flow					42.60352	Basalt	245.59900000000002	FS-FD:SO-CMD-NORTH:SO-POM:SO-MAG	g	g	i	sr03e	sr03	
	This study	DE-SPEC	sample direction.		150.9	-61.2	1.0	1.0	0.0	p	n	0.0										DA-DIR-GEO:DE-BFL:SO-CMD-NORTH:LP-DIR-T		g	i	sr03e	sr03	sr03e1
12.1	This study			-55.0									Igneous:Extrusive	Lava Flow					42.60352	Basalt	245.59900000000002	FS-FD:SO-CMD-NORTH:SO-POM:SO-MAG	g	g	i	sr03f	sr03	
	This study	DE-SPEC	sample direction.		147.2	-55.8	1.0	1.0	0.0	p	n	0.0										DA-DIR-GEO:DE-BFL:SO-CMD-NORTH:LP-DIR-AF		g	i	sr03f	sr03	sr03f1
348.1	This study			-84.0									Igneous:Extrusive	Lava Flow					42.60352	Basalt	245.59900000000002	FS-FD:SO-CMD-NORTH:SO-POM:SO-MAG	g	g	i	sr03g	sr03	
	This study	DE-SPEC	sample direction.		147.2	-57.3	1.0	1.0	0.0	p	n	0.0										DA-DIR-GEO:DE-BFL:SO-CMD-NORTH:LP-DIR-T		g	i	sr03g	sr03	sr03g1
28.4	This study			-88.0									Igneous:Extrusive	Lava Flow					42.60352	Basalt	245.59900000000002	FS-FD:SO-CMD-NORTH:SO-POM:SO-MAG	g	g	i	sr03h	sr03	
	This study	DE-SPEC	sample direction.		152.1	-57.0	1.0	1.0	0.0	p	n	0.0										DA-DIR-GEO:DE-BFL:SO-CMD-NORTH:LP-DIR-AF		g	i	sr03h	sr03	sr03h2
26.7	This study			-89.0									Igneous:Extrusive	Lava Flow					42.60352	Basalt	245.59900000000002	FS-FD:SO-CMD-NORTH:SO-POM:SO-MAG	g	g	i	sr03i	sr03	
310.5	This study			-92.0									Igneous:Extrusive	Lava Flow					42.60352	Basalt	245.59900000000002	FS-FD:SO-CMD-NORTH:SO-POM:SO-MAG	g	g	i	sr03j	sr03	
336.5	This study			-80.0									Igneous:Extrusive	Lava Flow					42.60352	Basalt	245.59900000000002	FS-FD:SO-CMD-NORTH:SO-POM:SO-MAG	g	g	i	sr03k	sr03	
	This study	DE-SPEC	sample direction.		159.8	-55.8	1.0	1.0	0.0	p	n	0.0										DA-DIR-GEO:DE-BFL:SO-CMD-NORTH:LP-DIR-AF		g	i	sr03k	sr03	sr03k1
313.4	This study			-98.0									Igneous:Extrusive	Lava Flow					42.601040000000005	Basalt	245.59599999999998	FS-FD:SO-POM:SO-SUN	g	g	i	sr04a	sr04	
316.4	This study			-70.0									Igneous:Extrusive	Lava Flow					42.601040000000005	Basalt	245.59599999999998	FS-FD:SO-POM:SO-SUN	g	g	i	sr04b	sr04	
165.2	This study			-78.0									Igneous:Extrusive	Lava Flow					42.601040000000005	Basalt	245.59599999999998	FS-FD:SO-CMD-NORTH:SO-POM:SO-MAG	g	g	i	sr04c	sr04	
156.2	This study			-78.0									Igneous:Extrusive	Lava Flow					42.601040000000005	Basalt	245.59599999999998	FS-FD:SO-CMD-NORTH:SO-POM:SO-MAG	g	g	i	sr04d	sr04	
	This study	DE-SPEC	sample direction.		10.8	55.9	1.0	1.0	0.0	p	n	0.0										DA-DIR-GEO:DE-BFL:SO-CMD-NORTH:LP-DIR-T		g	i	sr04d	sr04	sr04d2
194.2	This study			-57.0									Igneous:Extrusive	Lava Flow					42.601040000000005	Basalt	245.59599999999998	FS-FD:SO-CMD-NORTH:SO-POM:SO-MAG	g	g	i	sr04e	sr04	
	This study	DE-SPEC	sample direction.		27.9	53.2	1.0	1.0	0.0	p	n	0.0										DA-DIR-GEO:DE-BFL:SO-CMD-NORTH:LP-DIR-AF		g	i	sr04e	sr04	sr04e1
195.2	This study			-80.0									Igneous:Extrusive	Lava Flow					42.601040000000005	Basalt	245.59599999999998	FS-FD:SO-CMD-NORTH:SO-POM:SO-MAG	g	g	i	sr04f	sr04	
	This study	DE-SPEC	sample direction.		20.5	54.8	1.0	1.0	0.0	p	n	0.0										DA-DIR-GEO:DE-BFL:SO-CMD-NORTH:LP-DIR-AF		g	i	sr04f	sr04	sr04f2
319.2	This study			-89.0									Igneous:Extrusive	Lava Flow					42.601040000000005	Basalt	245.59599999999998	FS-FD:SO-CMD-NORTH:SO-POM:SO-MAG	g	g	i	sr04g	sr04	
	This study	DE-SPEC	sample direction.		11.4	54.8	1.0	1.0	0.0	p	n	0.0										DA-DIR-GEO:DE-BFL:SO-CMD-NORTH:LP-DIR-T		g	i	sr04g	sr04	sr04g1
353.4	This study			-87.0									Igneous:Extrusive	Lava Flow					42.601040000000005	Basalt	245.59599999999998	FS-FD:SO-POM:SO-SUN	g	g	i	sr04h	sr04	
	This study	DE-SPEC	sample direction.		11.5	53.2	1.0	1.0	0.0	p	n	0.0										DA-DIR-GEO:DE-BFL:SO-SUN:LP-DIR-T		g	i	sr04h	sr04	sr04h3
98.6	This study			-83.0									Igneous:Extrusive	Lava Flow					42.601040000000005	Basalt	245.59599999999998	FS-FD:SO-POM:SO-SUN	g	g	i	sr04i	sr04	
79.6	This study			-69.0									Igneous:Extrusive	Lava Flow					42.601040000000005	Basalt	245.59599999999998	FS-FD:SO-POM:SO-SUN	g	g	i	sr04j	sr04	
125.0	This study			-106.0									Igneous:Extrusive	Lava Flow					42.73656	Basalt	245.165	FS-FD:SO-POM:SO-SUN	g	g	i	sr09a	sr09	
113.1	This study			-96.0									Igneous:Extrusive	Lava Flow					42.73656	Basalt	245.165	FS-FD:SO-POM:SO-SUN	g	g	i	sr09b	sr09	
	This study	DE-SPEC	sample direction.		18.3	81.7	1.0	1.0	0.0	p	n	0.0										DA-DIR-GEO:DE-BFL:SO-SUN:LP-DIR-AF		g	i	sr09b	sr09	sr09b2
91.9	This study			-85.0									Igneous:Extrusive	Lava Flow					42.73656	Basalt	245.165	FS-FD:SO-POM:SO-SUN	g	g	i	sr09c	sr09	
	This study	DE-SPEC	sample direction.		13.5	76.5	1.0	1.0	0.0	p	n	0.0										DA-DIR-GEO:DE-BFL:SO-SUN:LP-DIR-T		g	i	sr09c	sr09	sr09c3
110.6	This study			-89.0									Igneous:Extrusive	Lava Flow					42.73656	Basalt	245.165	FS-FD:SO-POM:SO-SUN	g	g	i	sr09d	sr09	
97.0	This study			-101.0									Igneous:Extrusive	Lava Flow					42.73656	Basalt	245.165	FS-FD:SO-POM:SO-SUN	g	g	i	sr09e	sr09	
