tab 	specimens
citations	description	dir_dang	dir_dec	dir_inc	dir_mad_free	dir_n_measurements	dir_nrm_origin	dir_polarity	dir_tilt_correction	geologic_classes	geologic_types	int_abs	int_b	int_b_beta	int_b_sigma	int_corr	int_drats	int_f	int_fvds	int_mad_free	int_md	int_n_measurements	int_n_ptrm	int_q	int_rsc	int_scat	int_treat_dc_field	lithologies	meas_step_max	meas_step_min	meas_step_unit	method_codes	result_quality	result_type	sample	specimen
This study	Recalculated from original measurements; supercedes published results.		324.4	66.7	2.6	10.0	p	n	0.0	Igneous:Extrusive	Lava Flow					u												Basalt	0.16	0.01	T	DA-DIR-GEO:DE-BFL:SO-SUN:DE-BFL:LP-DIR-AF	g	i	sr01g	sr01g2
This study	Recalculated from original measurements; supercedes published results.	2.0	205.5	52.2			p	n	-1.0	Igneous:Extrusive	Lava Flow	3.07e-05	-0.7659999999999999	0.087	0.067	u	11.5	0.691	0.613	3.9	-1.0	9.0	5.0	6.6	0.9474	True	4e-05	Basalt	773.0	373.0	K	IE-TT:LP-PI-ALT-PTRM:LP-PI-ZI:DE-BFL:LP-PI-TRM	g	i	sr01i	sr01i1
This study	Recalculated from original measurements; supercedes published results.		328.5	62.5	2.8	9.0	p	n	0.0	Igneous:Extrusive	Lava Flow					u												Basalt	823.0	473.0	K	DA-DIR-GEO:DE-BFL:SO-SUN:DE-BFL:LP-DIR-T	g	i	sr01i	sr01i1
This study	Recalculated from original measurements; supercedes published results.	11.9	38.1	-36.2			p	n	-1.0	Igneous:Extrusive	Lava Flow	3.17e-05	-0.7929999999999999	0.14	0.111	u	2.9	0.174	0.163	19.0	-1.0	6.0	4.0	0.9	0.9235	True	4e-05	Basalt	673.0	373.0	K	IE-TT:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:DE-BFL:LP-PI-TRM	g	i	sr03a	sr03a1
This study	Recalculated from original measurements; supercedes published results.		146.5	-54.2	3.8	8.0	p	n	0.0	Igneous:Extrusive	Lava Flow					u												Basalt	823.0	473.0	K	DA-DIR-GEO:DE-BFL:SO-CMD-NORTH:DE-BFL:LP-DIR-T	g	i	sr03a	sr03a1
This study	Recalculated from original measurements; supercedes published results.	28.0	41.6	-48.7			p	n	-1.0	Igneous:Extrusive	Lava Flow	1.7899999999999998e-05	-0.447	0.276	0.124	u	20.6	0.379	0.354	8.4	-1.0	7.0	5.0	1.1	0.6554	True	4e-05	Basalt	673.0	373.0	K	IE-TT:LP-PI-ALT-PTRM:LP-PI-ZI:DE-BFL:LP-PI-TRM	g	i	sr03b	sr03b1
This study	Recalculated from original measurements; supercedes published results.		121.4	-65.3	13.1	5.0	p	n	0.0	Igneous:Extrusive	Lava Flow					u												Basalt	823.0	673.0	K	DA-DIR-GEO:DE-BFL:SO-CMD-NORTH:DE-BFL:LP-DIR-T	g	i	sr03b	sr03b1
This study	Recalculated from original measurements; supercedes published results.	17.3	27.0	-46.2			p	n	-1.0	Igneous:Extrusive	Lava Flow	2.24e-05	-0.5589999999999999	0.168	0.094	u	0.9	0.13699999999999998	0.121	26.3	-1.0	6.0	5.0	0.6	0.8899	True	4e-05	Basalt	673.0	423.0	K	IE-TT:LP-PI-ALT-PTRM:LP-PI-ZI:DE-BFL:LP-PI-TRM	g	i	sr03c	sr03c1
This study	Recalculated from original measurements; supercedes published results.		159.8	-60.3	0.6	4.0	p	n	0.0	Igneous:Extrusive	Lava Flow					u												Basalt	823.0	723.0	K	DA-DIR-GEO:DE-BFL:SO-CMD-NORTH:DE-BFL:LP-DIR-T	g	i	sr03c	sr03c1
This study	Recalculated from original measurements; supercedes published results.	3.9	20.8	-33.5			p	n	-1.0	Igneous:Extrusive	Lava Flow	4.2e-05	-1.051	0.068	0.07200000000000001	u	5.8	0.353	0.368	9.2	-1.0	6.0	5.0	4.0	0.9815	True	4e-05	Basalt	673.0	423.0	K	IE-TT:LP-PI-ALT-PTRM:LP-PI-ZI:DE-BFL:LP-PI-TRM	g	i	sr03e	sr03e1
This study	Recalculated from original measurements; supercedes published results.		150.9	-61.2	2.9	9.0	p	n	0.0	Igneous:Extrusive	Lava Flow					u												Basalt	823.0	473.0	K	DA-DIR-GEO:DE-BFL:SO-CMD-NORTH:DE-BFL:LP-DIR-T	g	i	sr03e	sr03e1
This study	Recalculated from original measurements; supercedes published results.		147.2	-55.8	0.7	9.0	p	n	0.0	Igneous:Extrusive	Lava Flow					u												Basalt	0.18	0.03	T	DA-DIR-GEO:DE-BFL:SO-CMD-NORTH:DE-BFL:LP-DIR-AF	g	i	sr03f	sr03f1
This study	Recalculated from original measurements; supercedes published results.		147.2	-57.3	0.1	5.0	p	n	0.0	Igneous:Extrusive	Lava Flow					u												Basalt	923.0	823.0	K	DA-DIR-GEO:DE-BFL:SO-CMD-NORTH:DE-BFL:LP-DIR-T	g	i	sr03g	sr03g1
This study	Recalculated from original measurements; supercedes published results.		152.1	-57.0	1.7	9.0	p	n	0.0	Igneous:Extrusive	Lava Flow					u												Basalt	0.18	0.03	T	DA-DIR-GEO:DE-BFL:SO-CMD-NORTH:DE-BFL:LP-DIR-AF	g	i	sr03h	sr03h2
This study	Recalculated from original measurements; supercedes published results.		159.8	-55.8	1.1	11.0	p	n	0.0	Igneous:Extrusive	Lava Flow					u												Basalt	0.18	0.01	T	DA-DIR-GEO:DE-BFL:SO-CMD-NORTH:DE-BFL:LP-DIR-AF	g	i	sr03k	sr03k1
This study	Recalculated from original measurements; supercedes published results.		10.8	55.9	3.1	9.0	p	n	0.0	Igneous:Extrusive	Lava Flow					u												Basalt	798.0	473.0	K	DA-DIR-GEO:DE-BFL:SO-CMD-NORTH:DE-BFL:LP-DIR-T	g	i	sr04d	sr04d2
This study	Recalculated from original measurements; supercedes published results.		27.9	53.2	1.6	10.0	p	n	0.0	Igneous:Extrusive	Lava Flow					u												Basalt	0.18	0.02	T	DA-DIR-GEO:DE-BFL:SO-CMD-NORTH:DE-BFL:LP-DIR-AF	g	i	sr04e	sr04e1
This study	Recalculated from original measurements; supercedes published results.		20.5	54.8	2.6	9.0	p	n	0.0	Igneous:Extrusive	Lava Flow					u												Basalt	0.18	0.02	T	DA-DIR-GEO:DE-BFL:SO-CMD-NORTH:DE-BFL:LP-DIR-AF	g	i	sr04f	sr04f2
This study	Recalculated from original measurements; supercedes published results.		11.4	54.8	2.4	9.0	p	n	0.0	Igneous:Extrusive	Lava Flow					u												Basalt	798.0	473.0	K	DA-DIR-GEO:DE-BFL:SO-CMD-NORTH:DE-BFL:LP-DIR-T	g	i	sr04g	sr04g1
This study	Recalculated from original measurements; supercedes published results.		11.5	53.2	1.5	10.0	p	n	0.0	Igneous:Extrusive	Lava Flow					u												Basalt	848.0	523.0	K	DA-DIR-GEO:DE-BFL:SO-SUN:DE-BFL:LP-DIR-T	g	i	sr04h	sr04h3
This study	Recalculated from original measurements; supercedes published results.		18.3	81.7	1.9	10.0	p	n	0.0	Igneous:Extrusive	Lava Flow					u												Basalt	0.16	0.01	T	DA-DIR-GEO:DE-BFL:SO-SUN:DE-BFL:LP-DIR-AF	g	i	sr09b	sr09b2
This study	Recalculated from original measurements; supercedes published results.		13.5	76.5	2.2	9.0	p	n	0.0	Igneous:Extrusive	Lava Flow					u												Basalt	798.0	473.0	K	DA-DIR-GEO:DE-BFL:SO-SUN:DE-BFL:LP-DIR-T	g	i	sr09c	sr09c3
This study	Recalculated from original measurements; supercedes published results.		5.4	75.4	0.4	9.0	p	n	0.0	Igneous:Extrusive	Lava Flow					u												Basalt	0.14	0.01	T	DA-DIR-GEO:DE-BFL:SO-SUN:DE-BFL:LP-DIR-AF	g	i	sr09e	sr09e2
This study	Recalculated from original measurements; supercedes published results.	3.6	196.7	10.8			p	n	-1.0	Igneous:Extrusive	Lava Flow	3.4e-05	-0.851	0.022000000000000002	0.019	u	16.2	0.684	0.614	1.0	-1.0	5.0	3.0	21.1	0.9986	True	4e-05	Basalt	573.0	373.0	K	IE-TT:LP-PI-ALT-PTRM:LP-PI-ZI:DE-BFL:LP-PI-TRM	g	i	sr09f	sr09f1
This study	Recalculated from original measurements; supercedes published results.		39.0	-16.5	1.7	10.0	p	n	0.0	Igneous:Extrusive	Lava Flow					u												Basalt	773.0	273.0	K	DA-DIR-GEO:DE-BFP:SO-SUN:DE-BFP:LP-DIR-T	g	i	sr09f	sr09f1
This study	Recalculated from original measurements; supercedes published results.		22.0	75.9	0.5	8.0	p	n	0.0	Igneous:Extrusive	Lava Flow					u												Basalt	0.18	0.04	T	DA-DIR-GEO:DE-BFL:SO-SUN:DE-BFL:LP-DIR-AF	g	i	sr09f	sr09f2
This study	Recalculated from original measurements; supercedes published results.		5.6	81.2	1.2	9.0	p	n	0.0	Igneous:Extrusive	Lava Flow					u												Basalt	798.0	473.0	K	DA-DIR-GEO:DE-BFL:SO-SUN:DE-BFL:LP-DIR-T	g	i	sr09g	sr09g1
This study	Recalculated from original measurements; supercedes published results.		10.9	81.2	3.3	9.0	p	n	0.0	Igneous:Extrusive	Lava Flow					u												Basalt	798.0	473.0	K	DA-DIR-GEO:DE-BFL:SO-SUN:DE-BFL:LP-DIR-T	g	i	sr09i	sr09i1
This study	Recalculated from original measurements; supercedes published results.		340.5	74.1	0.9	8.0	p	n	0.0	Igneous:Extrusive	Lava Flow					u												Basalt	0.18	0.04	T	DA-DIR-GEO:DE-BFL:SO-CMD-NORTH:DE-BFL:LP-DIR-AF	g	i	sr11a	sr11a1
This study	Recalculated from original measurements; supercedes published results.		354.0	70.3	2.1	10.0	p	n	0.0	Igneous:Extrusive	Lava Flow					u												Basalt	0.16	0.01	T	DA-DIR-GEO:DE-BFL:SO-CMD-NORTH:DE-BFL:LP-DIR-AF	g	i	sr11b	sr11b1
This study	Recalculated from original measurements; supercedes published results.		342.7	69.4	1.3	8.0	p	n	0.0	Igneous:Extrusive	Lava Flow					u												Basalt	0.18	0.04	T	DA-DIR-GEO:DE-BFL:SO-CMD-NORTH:DE-BFL:LP-DIR-AF	g	i	sr11c	sr11c1
This study	Recalculated from original measurements; supercedes published results.		341.4	73.4	0.9	8.0	p	n	0.0	Igneous:Extrusive	Lava Flow					u												Basalt	0.18	0.04	T	DA-DIR-GEO:DE-BFL:SO-CMD-NORTH:DE-BFL:LP-DIR-AF	g	i	sr11e	sr11e2
This study	Recalculated from original measurements; supercedes published results.		136.6	9.4	3.5	14.0	p	n	0.0	Igneous:Extrusive	Lava Flow					u												Basalt	848.0	273.0	K	DA-DIR-GEO:DE-BFP:SO-CMD-NORTH:DE-BFP:LP-DIR-T	g	i	sr11f	sr11f1
This study	Recalculated from original measurements; supercedes published results.		345.4	77.1	0.8	8.0	p	n	0.0	Igneous:Extrusive	Lava Flow					u												Basalt	0.14	0.02	T	DA-DIR-GEO:DE-BFL:SO-CMD-NORTH:DE-BFL:LP-DIR-AF	g	i	sr11g	sr11g2
This study	Recalculated from original measurements; supercedes published results.		77.1	0.8	3.5	12.0	p	n	0.0	Igneous:Extrusive	Lava Flow					u												Basalt	0.18	0.0	T	DA-DIR-GEO:DE-BFP:SO-CMD-NORTH:DE-BFP:LP-DIR-AF	g	i	sr11i	sr11i1
This study	Recalculated from original measurements; supercedes published results.		97.4	-13.1	11.8	8.0	p	n	0.0	Igneous:Extrusive	Lava Flow					u												Basalt	0.12	0.01	T	DA-DIR-GEO:DE-BFL:SO-CMD-NORTH:DE-BFL:LP-DIR-AF	g	i	sr11j	sr11j3
This study	Recalculated from original measurements; supercedes published results.		15.4	46.8	1.7	9.0	p	n	0.0	Igneous:Extrusive	Lava Flow					u												Basalt	798.0	473.0	K	DA-DIR-GEO:DE-BFL:SO-CMD-NORTH:DE-BFL:LP-DIR-T	g	i	sr12a	sr12a3
This study	Recalculated from original measurements; supercedes published results.		14.9	45.0	2.2	9.0	p	n	0.0	Igneous:Extrusive	Lava Flow					u												Basalt	798.0	473.0	K	DA-DIR-GEO:DE-BFL:SO-CMD-NORTH:DE-BFL:LP-DIR-T	g	i	sr12b	sr12b1
This study	Recalculated from original measurements; supercedes published results.		16.2	47.9	0.8	7.0	p	n	0.0	Igneous:Extrusive	Lava Flow					u												Basalt	0.14	0.02	T	DA-DIR-GEO:DE-BFL:SO-CMD-NORTH:DE-BFL:LP-DIR-AF	g	i	sr12c	sr12c1
This study	Recalculated from original measurements; supercedes published results.		18.2	48.5	4.2	9.0	p	n	0.0	Igneous:Extrusive	Lava Flow					u												Basalt	798.0	473.0	K	DA-DIR-GEO:DE-BFL:SO-CMD-NORTH:DE-BFL:LP-DIR-T	g	i	sr12e	sr12e1
This study	Recalculated from original measurements; supercedes published results.		12.5	35.9	0.8	9.0	p	n	0.0	Igneous:Extrusive	Lava Flow					u												Basalt	0.18	0.03	T	DA-DIR-GEO:DE-BFL:SO-CMD-NORTH:DE-BFL:LP-DIR-AF	g	i	sr12h	sr12h1
This study	Recalculated from original measurements; supercedes published results.		339.0	60.6	2.9	13.0	p	n	0.0	Igneous:Extrusive	Lava Flow					u												Basalt	848.0	373.0	K	DA-DIR-GEO:DE-BFL:SO-SUN:DE-BFL:LP-DIR-T	g	i	sr16a	sr16a1
This study	Recalculated from original measurements; supercedes published results.		356.9	67.5	4.5	13.0	p	n	0.0	Igneous:Extrusive	Lava Flow					u												Basalt	848.0	373.0	K	DA-DIR-GEO:DE-BFL:SO-SUN:DE-BFL:LP-DIR-T	g	i	sr16b	sr16b1
This study	Recalculated from original measurements; supercedes published results.		332.9	65.6	2.7	13.0	p	n	0.0	Igneous:Extrusive	Lava Flow					u												Basalt	848.0	373.0	K	DA-DIR-GEO:DE-BFL:SO-SUN:DE-BFL:LP-DIR-T	g	i	sr16c	sr16c1
This study	Recalculated from original measurements; supercedes published results.		347.0	67.4	1.7	12.0	p	n	0.0	Igneous:Extrusive	Lava Flow					u												Basalt	823.0	373.0	K	DA-DIR-GEO:DE-BFL:SO-SUN:DE-BFL:LP-DIR-T	g	i	sr16d	sr16d1
This study	Recalculated from original measurements; supercedes published results.		7.7	65.3	1.0	9.0	p	n	0.0	Igneous:Extrusive	Lava Flow					u												Basalt	0.18	0.03	T	DA-DIR-GEO:DE-BFL:SO-SUN:DE-BFL:LP-DIR-AF	g	i	sr16e	sr16e1
This study	Recalculated from original measurements; supercedes published results.		342.2	65.5	1.9	6.0	p	n	0.0	Igneous:Extrusive	Lava Flow					u												Basalt	823.0	673.0	K	DA-DIR-GEO:DE-BFL:SO-SUN:DE-BFL:LP-DIR-T	g	i	sr16f	sr16f1
This study	Recalculated from original measurements; supercedes published results.		348.4	64.7	0.5	9.0	p	n	0.0	Igneous:Extrusive	Lava Flow					u												Basalt	0.18	0.03	T	DA-DIR-GEO:DE-BFL:SO-SUN:DE-BFL:LP-DIR-AF	g	i	sr16g	sr16g2
This study	Recalculated from original measurements; supercedes published results.		71.9	-0.9	4.8	11.0	p	n	0.0	Igneous:Extrusive	Lava Flow					u												Basalt	0.16	0.0	T	DA-DIR-GEO:DE-BFP:SO-SUN:DE-BFP:LP-DIR-AF	g	i	sr19a	sr19a3
This study	Recalculated from original measurements; supercedes published results.		169.6	-64.0	2.2	9.0	p	n	0.0	Igneous:Extrusive	Lava Flow					u												Basalt	0.18	0.03	T	DA-DIR-GEO:DE-BFL:SO-SUN:DE-BFL:LP-DIR-AF	g	i	sr19b	sr19b3
This study	Recalculated from original measurements; supercedes published results.		190.8	-34.8	3.1	14.0	p	n	0.0	Igneous:Extrusive	Lava Flow					u												Basalt	923.0	473.0	K	DA-DIR-GEO:DE-BFL:SO-SUN:DE-BFL:LP-DIR-T	g	i	sr19e	sr19e2
This study	Recalculated from original measurements; supercedes published results.		168.4	-65.0	1.2	10.0	p	n	0.0	Igneous:Extrusive	Lava Flow					u												Basalt	0.18	0.02	T	DA-DIR-GEO:DE-BFL:SO-CMD-NORTH:DE-BFL:LP-DIR-AF	g	i	sr19h	sr19h2
This study	Recalculated from original measurements; supercedes published results.		145.8	27.9	6.1	14.0	p	n	0.0	Igneous:Extrusive	Lava Flow					u												Basalt	848.0	273.0	K	DA-DIR-GEO:DE-BFP:SO-SUN:DE-BFP:LP-DIR-T	g	i	sr19i	sr19i1
This study	Recalculated from original measurements; supercedes published results.		339.1	56.2	2.1	9.0	p	n	0.0	Igneous:Extrusive	Lava Flow					u												Basalt	798.0	473.0	K	DA-DIR-GEO:DE-BFL:SO-SUN:DE-BFL:LP-DIR-T	g	i	sr20c	sr20c1
This study	Recalculated from original measurements; supercedes published results.		342.0	60.3	1.7	9.0	p	n	0.0	Igneous:Extrusive	Lava Flow					u												Basalt	0.18	0.03	T	DA-DIR-GEO:DE-BFL:SO-SUN:DE-BFL:LP-DIR-AF	g	i	sr20d	sr20d2
This study	Recalculated from original measurements; supercedes published results.		332.0	55.3	1.0	10.0	p	n	0.0	Igneous:Extrusive	Lava Flow					u												Basalt	0.16	0.01	T	DA-DIR-GEO:DE-BFL:SO-SUN:DE-BFL:LP-DIR-AF	g	i	sr20e	sr20e1
This study	Recalculated from original measurements; supercedes published results.		337.1	54.0	3.7	9.0	p	n	0.0	Igneous:Extrusive	Lava Flow					u												Basalt	798.0	473.0	K	DA-DIR-GEO:DE-BFL:SO-SUN:DE-BFL:LP-DIR-T	g	i	sr20f	sr20f1
This study	Recalculated from original measurements; supercedes published results.		340.1	60.1	1.6	9.0	p	n	0.0	Igneous:Extrusive	Lava Flow					u												Basalt	798.0	473.0	K	DA-DIR-GEO:DE-BFL:SO-SUN:DE-BFL:LP-DIR-T	g	i	sr20g	sr20g1
This study	Recalculated from original measurements; supercedes published results.		330.4	31.9	0.6	11.0	p	n	0.0	Igneous:Extrusive	Lava Flow					u												Basalt	0.18	0.01	T	DA-DIR-GEO:DE-BFL:SO-SUN:DE-BFL:LP-DIR-AF	g	i	sr20i	sr20i1
This study	Recalculated from original measurements; supercedes published results.		330.8	31.1	2.3	9.0	p	n	0.0	Igneous:Extrusive	Lava Flow					u												Basalt	798.0	473.0	K	DA-DIR-GEO:DE-BFL:SO-SUN:DE-BFL:LP-DIR-T	g	i	sr20i	sr20i2
This study	Recalculated from original measurements; supercedes published results.		328.3	57.4	1.1	9.0	p	n	0.0	Igneous:Extrusive	Lava Flow					u												Basalt	923.0	723.0	K	DA-DIR-GEO:DE-BFL:SO-SUN:DE-BFL:LP-DIR-T	g	i	sr20j	sr20j2
This study	Recalculated from original measurements; supercedes published results.		174.5	-67.2	1.0	9.0	p	n	0.0	Igneous:Extrusive	Lava Flow					u												Basalt	923.0	723.0	K	DA-DIR-GEO:DE-BFL:SO-SUN:DE-BFL:LP-DIR-T	g	i	sr21b	sr21b2
This study	Recalculated from original measurements; supercedes published results.		176.1	-69.2	1.3	11.0	p	n	0.0	Igneous:Extrusive	Lava Flow					u												Basalt	0.18	0.01	T	DA-DIR-GEO:DE-BFL:SO-SUN:DE-BFL:LP-DIR-AF	g	i	sr21d	sr21d1
This study	Recalculated from original measurements; supercedes published results.		165.2	-67.3	3.8	13.0	p	n	0.0	Igneous:Extrusive	Lava Flow					u												Basalt	848.0	373.0	K	DA-DIR-GEO:DE-BFL:SO-SUN:DE-BFL:LP-DIR-T	g	i	sr21g	sr21g2
This study	Recalculated from original measurements; supercedes published results.	1.6	353.3	-42.4			p	n	-1.0	Igneous:Extrusive	Lava Flow	0.0001196	-2.991	0.14	0.418	u	20.3	0.244	0.248	4.6	-1.0	7.0	3.0	1.2	0.9048	True	4e-05	Basalt	723.0	423.0	K	IE-TT:LP-PI-ALT-PTRM:LP-PI-ZI:DE-BFL:LP-PI-TRM	g	i	sr21h	sr21h1
This study	Recalculated from original measurements; supercedes published results.		176.5	-63.8	2.9	9.0	p	n	0.0	Igneous:Extrusive	Lava Flow					u												Basalt	773.0	373.0	K	DA-DIR-GEO:DE-BFL:SO-SUN:DE-BFL:LP-DIR-T	g	i	sr21h	sr21h1
This study	Recalculated from original measurements; supercedes published results.		170.1	-66.5	2.0	5.0	p	n	0.0	Igneous:Extrusive	Lava Flow					u												Basalt	848.0	748.0	K	DA-DIR-GEO:DE-BFL:SO-SUN:DE-BFL:LP-DIR-T	g	i	sr21j	sr21j2
This study	Recalculated from original measurements; supercedes published results.		248.2	45.0	4.3	11.0	p	n	0.0	Igneous:Extrusive	Lava Flow					u												Basalt	823.0	373.0	K	DA-DIR-GEO:DE-BFP:SO-SUN:DE-BFP:LP-DIR-T	g	i	sr22a	sr22a1
This study	Recalculated from original measurements; supercedes published results.		12.7	29.9	1.4	9.0	p	n	0.0	Igneous:Extrusive	Lava Flow					u												Basalt	0.18	0.03	T	DA-DIR-GEO:DE-BFL:SO-SUN:DE-BFL:LP-DIR-AF	g	i	sr22b	sr22b2
This study	Recalculated from original measurements; supercedes published results.		5.4	35.7	2.2	8.0	p	n	0.0	Igneous:Extrusive	Lava Flow					u												Basalt	0.18	0.04	T	DA-DIR-GEO:DE-BFL:SO-SUN:DE-BFL:LP-DIR-AF	g	i	sr22d	sr22d3
This study	Recalculated from original measurements; supercedes published results.		1.8	28.4	1.2	10.0	p	n	0.0	Igneous:Extrusive	Lava Flow					u												Basalt	0.18	0.02	T	DA-DIR-GEO:DE-BFL:SO-CMD-NORTH:DE-BFL:LP-DIR-AF	g	i	sr22e	sr22e1
This study	Recalculated from original measurements; supercedes published results.		5.9	30.1	1.9	9.0	p	n	0.0	Igneous:Extrusive	Lava Flow					u												Basalt	0.18	0.03	T	DA-DIR-GEO:DE-BFL:SO-CMD-NORTH:DE-BFL:LP-DIR-AF	g	i	sr22f	sr22f1
This study	Recalculated from original measurements; supercedes published results.		5.0	29.9	2.3	9.0	p	n	0.0	Igneous:Extrusive	Lava Flow					u												Basalt	798.0	473.0	K	DA-DIR-GEO:DE-BFL:SO-CMD-NORTH:DE-BFL:LP-DIR-T	g	i	sr22g	sr22g1
This study	Recalculated from original measurements; supercedes published results.		4.7	26.9	1.3	6.0	p	n	0.0	Igneous:Extrusive	Lava Flow					u												Basalt	823.0	673.0	K	DA-DIR-GEO:DE-BFL:SO-CMD-NORTH:DE-BFL:LP-DIR-T	g	i	sr22i	sr22i2
This study	Recalculated from original measurements; supercedes published results.		12.8	45.8	1.6	11.0	p	n	0.0	Igneous:Extrusive	Lava Flow					u												Basalt	0.18	0.01	T	DA-DIR-GEO:DE-BFL:SO-CMD-NORTH:DE-BFL:LP-DIR-AF	g	i	sr23a	sr23a1
This study	Recalculated from original measurements; supercedes published results.		17.7	43.7	0.5	9.0	p	n	0.0	Igneous:Extrusive	Lava Flow					u												Basalt	0.18	0.03	T	DA-DIR-GEO:DE-BFL:SO-CMD-NORTH:DE-BFL:LP-DIR-AF	g	i	sr23b	sr23b2
This study	Recalculated from original measurements; supercedes published results.		308.7	-22.7	6.4	13.0	p	n	0.0	Igneous:Extrusive	Lava Flow					u												Basalt	848.0	373.0	K	DA-DIR-GEO:DE-BFP:SO-CMD-NORTH:DE-BFP:LP-DIR-T	g	i	sr23c	sr23c2
This study	Recalculated from original measurements; supercedes published results.		12.9	48.4	1.0	10.0	p	n	0.0	Igneous:Extrusive	Lava Flow					u												Basalt	0.18	0.02	T	DA-DIR-GEO:DE-BFL:SO-CMD-NORTH:DE-BFL:LP-DIR-AF	g	i	sr23d	sr23d3
This study	Recalculated from original measurements; supercedes published results.		344.4	-40.3	6.9	10.0	p	n	0.0	Igneous:Extrusive	Lava Flow					u												Basalt	773.0	373.0	K	DA-DIR-GEO:DE-BFP:SO-CMD-NORTH:DE-BFP:LP-DIR-T	g	i	sr23e	sr23e1
This study	Recalculated from original measurements; supercedes published results.		198.9	46.4	3.6	13.0	p	n	0.0	Igneous:Extrusive	Lava Flow					u												Basalt	848.0	373.0	K	DA-DIR-GEO:DE-BFP:SO-CMD-NORTH:DE-BFP:LP-DIR-T	g	i	sr23f	sr23f1
