tab 	specimens
citations	description	dir_dang	dir_dec	dir_inc	dir_mad_free	dir_n_measurements	dir_nrm_origin	dir_polarity	dir_tilt_correction	geologic_classes	geologic_types	int_abs	int_b	int_b_beta	int_b_sigma	int_corr	int_drats	int_f	int_fvds	int_mad_free	int_md	int_n_measurements	int_n_ptrm	int_q	int_rsc	int_scat	int_treat_dc_field	lithologies	meas_step_max	meas_step_min	meas_step_unit	method_codes	result_quality	result_type	sample	specimen
This study	Recalculated from original measurements; supercedes published results.	1.1	170.7	27.3			p	n	-1.0	Igneous:Extrusive	Lava Flow	4.14e-05	-1.036	0.091	0.094	u	18.7	0.7879999999999999	0.6940000000000001	2.0	-1.0	7.0	5.0	6.7	0.9591	True	4e-05	Basalt	823.0	573.0	K	IE-TT:LP-PI-ALT-PTRM:LP-PI-ZI:DE-BFL:LP-PI-TRM	g	i	sr01a	sr01a1
This study	Recalculated from original measurements; supercedes published results.		331.0	64.4	1.8	9.0	p	n	0.0	Igneous:Extrusive	Lava Flow					u												Basalt	823.0	473.0	K	DA-DIR-GEO:DE-BFL:SO-SUN:DE-BFL:LP-DIR-T	g	i	sr01a	sr01a1
This study	Recalculated from original measurements; supercedes published results.	0.2	172.3	30.1			p	n	-1.0	Igneous:Extrusive	Lava Flow	3.9399999999999995e-05	-0.985	0.073	0.07200000000000001	u	15.6	0.91	0.86	0.5	3.0	8.0	5.0	10.4	0.9686	True	4e-05	Basalt	848.0	573.0	K	IE-TT:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-ZI:DE-BFL:LP-PI-TRM	g	i	sr01a	sr01a2
This study	Recalculated from original measurements; supercedes published results.		325.9	62.1	0.9	10.0	p	n	0.0	Igneous:Extrusive	Lava Flow					u												Basalt	848.0	473.0	K	DA-DIR-GEO:DE-BFL:SO-SUN:DE-BFL:LP-DIR-T	g	i	sr01a	sr01a2
This study	Recalculated from original measurements; supercedes published results.	1.1	159.9	26.2			p	n	-1.0	Igneous:Extrusive	Lava Flow	3.17e-05	-0.792	0.039	0.031	u	0.2	0.639	0.542	1.3	-1.0	5.0	5.0	11.5	0.9954	True	4e-05	Basalt	823.0	673.0	K	IE-TT:LP-PI-ALT-PTRM:LP-PI-ZI:DE-BFL:LP-PI-TRM	g	i	sr01c	sr01c2
This study	Recalculated from original measurements; supercedes published results.		345.0	64.3	3.0	9.0	p	n	0.0	Igneous:Extrusive	Lava Flow					u												Basalt	823.0	473.0	K	DA-DIR-GEO:DE-BFL:SO-SUN:DE-BFL:LP-DIR-T	g	i	sr01c	sr01c2
This study	Recalculated from original measurements; supercedes published results.	0.6	187.5	38.3			p	n	-1.0	Igneous:Extrusive	Lava Flow	3.73e-05	-0.932	0.047	0.044000000000000004	u	7.7	0.821	0.7829999999999999	1.5	-1.0	11.0	6.0	14.2	0.9802	True	4e-05	Basalt	823.0	373.0	K	IE-TT:LP-PI-ALT-PTRM:LP-PI-ZI:DE-BFL:LP-PI-TRM	g	i	sr01d	sr01d1
This study	Recalculated from original measurements; supercedes published results.		326.9	65.2	1.9	10.0	p	n	0.0	Igneous:Extrusive	Lava Flow					u												Basalt	798.0	373.0	K	DA-DIR-GEO:DE-BFL:SO-CMD-NORTH:DE-BFL:LP-DIR-T	g	i	sr01d	sr01d1
This study	Recalculated from original measurements; supercedes published results.		333.0	67.1	1.9	10.0	p	n	0.0	Igneous:Extrusive	Lava Flow					u												Basalt	0.18	0.01	T	DA-DIR-GEO:DE-BFL:SO-SUN:DE-BFL:LP-DIR-AF	g	i	sr01e	sr01e2
This study	Recalculated from original measurements; supercedes published results.		325.9	66.1	1.6	15.0	p	n	0.0	Igneous:Extrusive	Lava Flow					u												Basalt	923.0	423.0	K	DA-DIR-GEO:DE-BFL:SO-SUN:DE-BFL:LP-DIR-T	g	i	sr01f	sr01f2
